time,ax,ay,az,gx,gy,gz,mx,my,mz,psi,theta,normAccel,normMag,normGyr
0.225,-0.41,-0.19,-9.86,-1.07,-0.65,-0.92,-47.02,1.75,-42.58,0.9743516595492774,2.3806685129992786,0.0,0.0,0.0
0.23600000000000002,-0.48,-0.12,-9.61,-0.84,-0.59,-0.87,-47.02,1.75,-42.58,1.1452489441756903,2.616914333478107,9.87034953788365,63.45864243741746,89.01706559788606
0.248,-0.48,-0.12,-9.61,-0.84,-0.59,-0.87,-47.02,1.75,-42.58,1.2038926571345776,2.696996598612216,9.62272830334516,63.45864243741746,77.09636293192607
0.26,-0.29,-0.09,-9.82,-0.77,-0.54,-0.85,-47.02,1.75,-42.58,1.3013106745469574,2.443312144762004,9.62272830334516,63.45864243741746,77.09636293192607
0.273,-0.22,-0.21,-9.8,-0.82,-0.55,-0.86,-47.02,1.75,-42.58,1.2260801345201058,2.2104830401602698,9.824693379439381,63.45864243741746,72.63242942700506
0.28500000000000003,-0.22,-0.21,-9.8,-0.82,-0.55,-0.86,-47.02,1.75,-42.58,1.176781579457316,2.0556236563055705,9.804718251943807,63.45864243741746,75.02247321366535
0.297,-0.42,-0.3,-9.97,-0.96,-0.54,-0.82,-50.72,3.84,-45.27,0.7153457282430781,2.1074424483193184,9.804718251943807,63.45864243741746,75.02247321366535
0.309,-0.43,-0.18,-10.09,-1.03,-0.52,-0.78,-50.72,3.84,-45.27,0.4605636790452532,2.150147738315738,9.983351140774325,68.0928549849395,78.67693215665024
0.323,-0.43,-0.18,-10.09,-1.03,-0.52,-0.78,-50.72,3.84,-45.27,0.2651476964846119,2.183130135440493,10.10076234746665,68.0928549849395,79.79761573579614
0.334,-0.23,0.06,-9.87,-1.11,-0.52,-0.8,-50.72,3.84,-45.27,0.2524347452205676,2.098254536704019,10.10076234746665,68.0928549849395,79.79761573579614
0.34600000000000003,-0.23,0.06,-9.87,-1.11,-0.52,-0.8,-50.72,3.84,-45.27,0.24271179113838995,2.028815688980359,9.87286179382655,68.0928549849395,83.86544344901637
0.359,-0.27,0.08,-10.05,-1.07,-0.51,-0.88,-50.72,3.84,-45.27,0.24398898915579179,1.9872912116310886,9.87286179382655,68.0928549849395,83.86544344901637
0.373,-0.29,0.04,-10.14,-0.93,-0.52,-0.96,-50.72,3.84,-45.27,0.2279140518841666,1.9597838761839057,10.053944499548424,68.0928549849395,84.58456218019691
0.384,-0.29,0.04,-10.14,-0.93,-0.52,-0.96,-50.72,3.84,-45.27,0.21420902745390058,1.9362942536899794,10.144224958073437,68.0928549849395,82.1730149218048
0.396,-0.41,-0.23,-10.19,-0.87,-0.51,-0.98,-50.72,3.84,-45.27,0.0997854640701878,1.961443111149336,10.144224958073437,68.0928549849395,82.1730149218048
0.40800000000000003,-0.41,-0.23,-10.19,-0.87,-0.51,-0.98,-50.72,3.84,-45.27,0.0,1.9833682397311492,10.200838200853887,68.0928549849395,80.56935693247912
0.422,-0.45,-0.26,-10.19,-1.03,-0.56,-0.97,-49.61,5.58,-45.6,-0.22702489280225754,2.016168153771119,10.200838200853887,68.0928549849395,80.56935693247912
