time,ax,ay,az,gx,gy,gz,normAccel,normGyr
34.56,-0.45,0.23,10.84,-0.02,-0.16,-0.04,10.85177404851391,9.518689786957244
34.57,-0.45,0.23,10.84,-0.02,-0.16,-0.04,10.85177404851391,9.518689786957244
34.58,0.58,0.49,9.52,-0.0,-0.36,-0.02,9.550230363713746,20.658287090209747
34.59,-0.2,0.51,10.05,-0.03,-0.28,0.03,10.06491927439063,16.225938163044436
34.6,-0.2,0.51,10.05,-0.03,-0.28,0.03,10.06491927439063,16.225938163044436
34.61,-0.46,1.46,10.18,-0.0,0.01,0.07,10.294445104035477,4.051423422706978
34.62,-0.46,1.46,10.18,0.0,0.01,0.07,10.294445104035477,4.051423422706978
34.63,-0.46,1.46,10.18,-0.0,0.01,0.07,10.294445104035477,4.051423422706978
34.64,-1.32,-2.85,31.83,0.03,0.08,0.06,31.98458691307424,5.981854997835371
34.65,-1.1,2.88,11.76,0.05,-0.04,0.06,12.15738458715525,5.027684247751685
34.66,-1.1,2.88,11.76,0.05,-0.04,0.06,12.15738458715525,5.027684247751685
34.67,0.1,0.03,8.93,0.04,-0.33,0.06,8.930610281498124,19.35376460889044
34.68,0.1,0.03,8.93,0.04,-0.33,0.06,8.930610281498124,19.35376460889044
34.69,-2.02,-1.95,9.41,0.04,-0.45,0.11,9.819928716645554,26.64099721993415
34.7,-1.440000000000206,-1.795000000000055,10.854999999999489,0.0250000000000053,-0.4150000000000124,0.1299999999999929,11.096244860311515,24.958215178869605
34.71,-0.86,-1.64,12.3,0.01,-0.38,0.15,12.438617286499333,23.414283257276132
34.72,-0.86,-1.64,12.3,0.01,-0.38,0.15,12.438617286499333,23.414283257276132
34.73,-0.18,1.22,9.15,0.01,-0.22,0.19,9.232729823838667,16.66509577563218
34.74,-0.18,1.22,9.15,0.01,-0.22,0.19,9.232729823838667,16.66509577563218
34.75,-0.89,2.45,10.89,0.01,-0.21,0.21,11.197620282899399,17.02562188896596
34.76,-0.89,2.45,10.89,0.01,-0.21,0.21,11.197620282899399,17.02562188896596
34.77,-0.7850000000000373,2.210000000000085,10.850000000000016,0.0199999999999964,-0.2499999999999858,0.2199999999999964,11.100577687670167,19.11482008171351
34.78,-0.68,1.97,10.81,0.03,-0.29,0.23,11.00905990536885,21.276724270117793
34.79,-0.74,2.16,12.13,0.04,-0.38,0.22,12.343018269450955,25.262176359971107
34.8,-0.74,2.16,12.13,0.04,-0.38,0.22,12.343018269450955,25.262176359971107
34.81,-1.01,5.17,11.83,0.02,-0.36,0.2,12.949822392604464,23.623655083453883
34.82,-1.01,5.17,11.83,0.02,-0.36,0.2,12.949822392604464,23.623655083453883
34.83,-2.3,8.75,10.11,0.02,-0.12,0.15,13.567040944878142,11.065653024355953
34.84,-2.3,8.75,10.11,0.02,-0.12,0.15,13.567040944878142,11.065653024355953
34.85,-2.3,8.75,10.11,0.02,-0.12,0.15,13.567040944878142,11.065653024355953
34.86,-1.92,7.46,9.42,0.12,0.08,0.06,12.16858249756314,8.949886867457407
34.87,0.67,-2.38,9.1,0.21,0.67,-0.09,9.429915163987426,40.55877540053305
34.88,0.67,-2.38,9.1,0.21,0.67,-0.09,9.429915163987426,40.55877540053305
34.89,0.99,-8.72,10.29,0.15,0.32,-0.3,13.524148771734213,26.560780948939055
34.9,0.99,-8.72,10.29,0.15,0.32,-0.3,13.524148771734213,26.560780948939055
34.91,2.5399999999994494,-11.949999999998852,9.350000000000334,0.1649999999999946,-0.0999999999998508,-0.4399999999999502,15.384297189016337,27.52732779877504
34.92,4.09,-15.18,8.41,0.18,-0.52,-0.58,17.829430725628903,45.80796676264411
34.93,8.94,-19.1,14.08,0.59,-0.8,-1.49,25.357050301641948,102.6250424219531
34.94,8.94,-19.1,14.08,0.59,-0.8,-1.49,25.357050301641948,102.6250424219531
34.95,10.08,-10.39,13.74,2.38,-0.25,-3.0,19.958609671016667,219.87623981682958
34.96,10.08,-10.39,13.74,2.38,-0.25,-3.0,19.958609671016667,219.87623981682958
34.97,9.99,3.28,9.16,4.94,0.1,-4.6,13.945038544227836,386.7936187075676
34.98,9.99,3.28,9.16,4.94,0.1,-4.6,13.945038544227836,386.7936187075676
34.99,9.99,3.28,9.16,4.94,0.1,-4.6,13.945038544227836,386.7936187075676
35.0,7.06,9.77,3.39,7.1,0.05,-5.51,12.52152546617224,514.937670196072
35.01,-4.42,12.12,-1.65,7.97,-0.64,-5.71,13.005894817351091,562.9426239643288
35.02,-4.42,12.12,-1.65,7.97,-0.64,-5.71,13.005894817351091,562.9426239643288
35.03,2.16,18.1,28.35,6.73,-2.89,-5.84,33.70457090662927,536.7198774941548
35.04,2.16,18.1,28.35,6.73,-2.89,-5.84,33.70457090662927,536.7198774941548
35.05,1.465000000000247,15.145000000001051,21.00500000000261,4.740000000000707,-3.0049999999999595,-5.715000000000044,25.93698662142814,458.9347232335704
35.06,0.77,12.19,13.66,2.75,-3.12,-5.59,18.32442632117033,399.20400080825857
35.07,0.77,12.19,13.66,2.75,-3.12,-5.59,18.32442632117033,399.20400080825857
35.08,-1.37,7.67,0.24,1.67,-2.35,-5.46,7.795088197063584,353.766061800023
35.09,1.45,7.25,-4.82,1.15,-2.22,-5.51,8.825950373755791,346.67971281902254
35.1,1.45,7.25,-4.82,1.15,-2.22,-5.51,8.825950373755791,346.67971281902254
35.11,0.12,10.17,-0.75,0.53,-1.73,-5.39,10.198323391616878,325.760141499608
35.12,0.12,10.17,-0.75,0.53,-1.73,-5.39,10.198323391616878,325.760141499608
35.129999999999995,0.0350000000000301,7.500000000000949,0.324999999999618,0.0700000000001634,-1.640000000000032,-5.320000000000025,7.507119953751505,318.99344844476093
35.14,-0.05,4.83,1.4,-0.39,-1.55,-5.25,5.02905557734253,314.4337881397906
35.15,-0.04,4.38,0.48,-1.8,-1.66,-5.2,4.406404429917889,329.31668262699355
