time,ax,ay,az,gx,gy,gz,normAccel,normGyr
28.41,1.29,-0.21,10.83,0.06,-0.03,0.07,10.90857919254382,5.555031925210726
28.42,0.9399999999999468,-0.7057142857143612,10.50142857142852,0.0514285714285701,0.0257142857142941,0.07,10.567006893812291,5.190290057837336
28.43,0.5900000000000178,-1.2014285714285462,10.17285714285716,0.0428571428571432,0.0814285714285686,0.07,10.260533761029432,6.624380077669222
28.44,0.2399999999999644,-1.6971428571429077,9.84428571428568,0.0342857142857134,0.1371428571428628,0.07,9.992389859390011,9.038156962397245
28.45,-0.1099999999999643,-2.1928571428570924,9.51571428571432,0.0257142857142865,0.1928571428571372,0.07,9.765732989198863,11.84722416749953
28.46,-0.4600000000000177,-2.688571428571454,9.18714285714284,0.0171428571428567,0.2485714285714314,0.07,9.583507197476374,14.828611836838537
28.47,-0.8099999999999468,-3.1842857142856387,8.858571428571478,0.0085714285714298,0.3042857142857058,0.07,9.448283614779271,17.896404858931927
28.48,-1.16,-3.68,8.53,-0.0,0.36,0.07,9.362099123594025,21.01279262917187
28.49,-1.1137499999999918,-2.582499999999805,8.730000000000036,0.0012500000000002,0.2874999999999871,0.058749999999998,9.171839799762074,16.813102124400405
28.5,-1.0675,-1.4850000000000003,8.93,0.0025,0.215,0.0475,9.11535414835869,12.616460394904527
28.51,-1.0212499999999918,-0.3874999999998056,9.130000000000036,0.0037500000000002,0.1424999999999871,0.036249999999998,9.195107819514707,8.427423308967148
28.52,-0.975,0.7099999999999995,9.33,0.005,0.07,0.0249999999999999,9.407636525716754,4.268439438783824
28.53,-0.9287499999999916,1.8075000000001944,9.530000000000037,0.0062500000000002,-0.0025000000000128,0.013749999999998,9.74425640120894,0.8771589013879072
28.54,-0.8825000000000001,2.904999999999999,9.73,0.0075,-0.0749999999999999,0.0024999999999999,10.192680278023047,4.320990756260853
28.55,-0.8362499999999918,4.002500000000195,9.930000000000035,0.0087500000000002,-0.1475000000000128,-0.008750000000002,10.738911505013078,8.480815725789652
28.56,-0.79,5.1,10.13,0.01,-0.22,-0.02,11.36886098076672,12.670013043228263
28.57,-0.4149999999999333,5.029999999999987,9.549999999999898,-0.0050000000000026,-0.1999999999999964,-0.0049999999999973,10.80164917963909,11.466315638336738
28.58,-0.04,4.96,8.97,-0.02,-0.18,0.01,10.250078048483338,10.392513118364892
28.59,-0.04,4.96,8.97,-0.02,-0.18,0.01,10.250078048483338,10.392513118364892
28.6,1.38,4.57,10.41,-0.04,-0.13,0.02,11.452397128985703,7.876867398605994
28.61,-0.55,6.8,7.97,-0.04,-0.25,0.04,10.491110522723512,14.686060642519886
28.62,-0.55,6.8,7.97,-0.04,-0.25,0.04,10.491110522723512,14.686060642519886
28.63,-0.55,6.8,7.97,-0.04,-0.25,0.04,10.491110522723512,14.686060642519886
28.64,-0.07,7.87,10.68,0.04,-0.62,0.04,13.26665745393315,35.670936927203805
28.65,-0.07,7.87,10.68,0.04,-0.62,0.04,13.26665745393315,35.670936927203805
28.66,1.31,7.74,7.98,0.12,-0.93,0.07,11.193931391606794,53.87631552621601
28.67,0.56,2.89,9.56,0.15,-0.42,0.2,10.002964560569032,28.004685983202982
28.680000000000003,0.56,2.89,9.56,0.15,-0.42,0.2,10.002964560569032,28.004685983202982
28.69,0.56,2.89,9.56,0.15,-0.42,0.2,10.002964560569032,28.004685983202982
28.7,-1.89,-3.25,8.27,0.2,0.61,0.32,9.084464761338447,41.09749222374818
28.71,-3.94,-11.44,9.87,0.18,0.68,0.34,15.614547703984254,44.764103878522675
28.72,-3.94,-11.44,9.87,0.18,0.68,0.34,15.614547703984254,44.764103878522675
28.73,-4.120000000000032,-14.59500000000056,10.785000000000162,0.225000000000008,-0.0500000000001296,0.5700000000000409,18.609262478669596,35.22758678171693
28.74,-4.3,-17.75,11.7,0.27,-0.78,0.8,21.689686489204956,65.86024620566278
28.75,-4.3,-17.75,11.7,0.27,-0.78,0.8,21.689686489204956,65.86024620566278
28.76,-3.09,-13.31,18.64,1.6,-1.11,1.8,23.11176756546327,151.93756130041572
28.77,-3.91,1.68,15.93,4.84,0.23,2.59,16.488644577405385,314.7963820714344
28.78,-3.91,1.68,15.93,4.84,0.23,2.59,16.488644577405385,314.7963820714344
28.79,-3.91,1.68,15.93,4.84,0.23,2.59,16.488644577405385,314.7963820714344
28.8,-6.83,22.36,-0.5,8.77,3.25,3.9,23.38521969107838,580.599933838694
28.81,19.72,39.43,63.57,10.76,6.63,5.98,77.36115433471763,801.1066714956946
28.82,19.72,39.43,63.57,10.76,6.63,5.98,77.36115433471763,801.1066714956946
28.83,10.139999999998295,13.804999999995449,12.439999999990924,8.89499999999967,5.529999999999804,6.935000000000169,21.169582541930627,719.7320357100876
28.84,0.56,-11.82,-38.69,7.03,4.43,7.89,40.459141117922904,656.5253840204558
28.85,0.56,-11.82,-38.69,7.03,4.43,7.89,40.459141117922904,656.5253840204558
28.86,-5.21,18.11,9.68,5.72,2.19,8.07,21.185339270353918,580.4698735347041
28.87,-6.06,12.8,-2.09,5.16,3.15,8.31,14.315435725118535,588.7937995155098
28.880000000000003,-6.06,12.8,-2.09,5.16,3.15,8.31,14.315435725118535,588.7937995155098
28.89,-6.06,12.8,-2.09,5.16,3.15,8.31,14.315435725118535,588.7937995155098
28.9,-2.12,14.06,-3.4,4.48,3.19,8.44,14.619781120112572,577.1823946378015
28.91,-1.21,14.93,2.65,3.71,3.64,8.79,15.211558105598519,585.0844588649186
28.92,-1.21,14.93,2.65,3.71,3.64,8.79,15.211558105598519,585.0844588649186
28.930000000000003,-1.9900000000001383,14.779999999999973,3.49500000000015,3.3349999999999334,3.9900000000000624,8.975000000000033,15.31742553433836,594.3120556378594
28.94,-2.77,14.63,4.34,2.96,4.34,9.16,15.509526104945955,605.0141319705593
28.95,-2.77,14.63,4.34,2.96,4.34,9.16,15.509526104945955,605.0141319705593
28.96,-1.25,14.3,-0.01,2.09,4.31,9.31,14.354532385278178,599.8851697868454
28.97,-1.05,13.66,-1.08,1.14,4.74,9.52,13.742798113921342,612.8174016018993
28.98,-1.05,13.66,-1.08,1.14,4.74,9.52,13.742798113921342,612.8174016018993
28.99,-1.05,13.66,-1.08,1.14,4.74,9.52,13.742798113921342,612.8174016018993
29.0,-1.64,13.64,0.44,0.15,4.96,9.59,13.745282827210215,618.6676123103903
29.01,-1.08,13.98,1.13,-0.87,4.92,9.52,14.067114131903532,616.0127696577016
29.02,-1.08,13.98,1.13,-0.87,4.92,9.52,14.067114131903532,616.0127696577016
29.03,-1.1000000000000036,13.929999999999993,0.8399999999999485,-1.370000000000089,4.9500000000000055,9.449999999999989,13.998589214631584,616.2477390639449
29.04,-1.12,13.88,0.55,-1.87,4.98,9.38,13.935971440843298,617.843267463651
29.05,-1.12,13.88,0.55,-1.87,4.98,9.38,13.935971440843298,617.843267463651
29.06,-10.68,9.29,-15.43,-2.81,4.96,9.14,20.939231122464836,617.1936367771607
29.07,-27.74,5.11,-35.23,0.08,2.03,6.83,45.13061710191874,408.27494631616366
29.08,-27.74,5.11,-35.23,0.08,2.03,6.83,45.13061710191874,408.27494631616366
29.09,-27.74,5.11,-35.23,0.08,2.03,6.83,45.13061710191874,408.27494631616366
29.1,-5.21,3.84,-1.13,3.71,-1.04,5.07,6.570129374677488,364.85581696991784
29.11,-5.21,3.84,-1.13,3.71,-1.04,5.07,6.570129374677488,364.85581696991784
29.12,0.27,3.15,-11.04,4.17,-1.54,4.72,11.483771157594528,371.49100644229424
