time,ax,ay,az,gx,gy,gz,normAccel,normGyr
10.24,-1.32,2.4,10.515,0.04,-0.015,0.015,10.865892738288926,2.5941767514038196
10.25,-1.32,1.46,11.0,0.05,-0.11,-0.0,11.174703575486912,6.923075379495118
10.26,-1.32,1.46,11.0,0.05,-0.11,-0.0,11.174703575486912,6.923075379495118
10.27,-0.69,-0.77,8.99,0.06,-0.34,-0.01,9.049259638224555,19.789866031795192
10.28,-0.69,-0.77,8.99,0.06,-0.34,-0.01,9.049259638224555,19.789866031795192
10.29,0.32,-1.27,9.1,0.03,-0.41,-0.0,9.193764191015559,23.55407126489993
10.3,0.32,-1.27,9.1,0.03,-0.41,-0.0,9.193764191015559,23.55407126489993
10.31,-0.2749999999999999,-0.37,9.0,0.03,-0.3099999999999999,0.02,9.01179920992473,17.881424397713502
10.32,-0.87,0.53,8.9,0.03,-0.21,0.04,8.958113640717002,12.368458914131025
10.33,-1.47,0.13,10.6,0.02,-0.02,0.05,10.702233411769713,3.2913919479513156
10.34,-1.47,0.13,10.6,0.02,-0.02,0.05,10.702233411769713,3.2913919479513156
10.35,-2.08,-1.8,10.07,0.07,-0.01,0.05,10.438931937703206,4.961960058796128
10.36,-2.08,-1.8,10.07,0.07,-0.01,0.05,10.438931937703206,4.961960058796128
10.37,-1.1300000000000845,-1.8799999999999928,9.61500000000004,0.0799999999999991,-0.0299999999999982,0.0350000000000013,9.862024386504068,5.290172410597749
10.38,-0.18,-1.96,9.16,0.09,-0.05,0.02,9.369076795501252,6.009232051612684
10.39,-0.42,-0.79,8.46,0.13,-0.08,0.0,8.50717932102057,8.745821171009252
10.4,-0.42,-0.79,8.46,0.13,-0.08,0.0,8.50717932102057,8.745821171009252
10.41,0.15,0.26,8.23,0.1,-0.08,-0.0,8.235472056901171,7.337439890056517
10.42,0.15,0.26,8.23,0.1,-0.08,-0.0,8.235472056901171,7.337439890056517
10.43,0.3,2.98,9.86,0.05,0.01,0.01,10.304853225543777,2.9771760352776773
10.44,0.52,5.799999999999999,10.595,0.035,0.165,0.0199999999999999,12.089848013933011,9.731853019740837
10.45,0.74,8.62,11.33,0.02,0.32,0.03,14.25555681129292,18.45066444592763
10.46,0.74,8.62,11.33,0.02,0.32,0.03,14.25555681129292,18.45066444592763
10.47,0.45,5.89,12.85,0.13,1.03,0.01,14.142740187106599,59.4856030033962
10.48,0.45,5.89,12.85,0.13,1.03,0.01,14.142740187106599,59.4856030033962
10.49,-1.8,-6.33,12.99,0.26,1.54,-0.2,14.561902348251069,90.21492949035162
10.5,-0.575,-12.195,11.93,0.445,0.74,-0.435,17.069667542163792,55.39793783443999
10.51,0.65,-18.06,10.87,0.63,-0.06,-0.67,21.088930745772767,52.805451552846094
10.52,0.65,-18.06,10.87,0.63,-0.06,-0.67,21.088930745772767,52.805451552846094
10.53,-0.76,-19.76,14.11,1.22,-2.17,-0.59,24.292535890680497,146.58540405977283
10.54,-0.76,-19.76,14.11,1.22,-2.17,-0.59,24.292535890680497,146.58540405977283
10.55,1.97,-14.06,16.27,3.13,-3.23,-0.13,21.593457342445188,257.80999850041263
10.56,1.97,-14.06,16.27,3.13,-3.23,-0.13,21.593457342445188,257.80999850041263
10.57,0.32,4.47,12.46,6.65,-0.14,0.49,13.241408535348498,382.1340715279029
10.58,-2.5250000000000004,11.760000000000002,8.415000000000001,8.305,1.825,1.08,14.679422672571292,491.10889492624784
10.59,-5.37,19.05,4.37,9.96,3.79,1.67,20.269097167856295,618.0369080670479
10.6,-5.37,19.05,4.37,9.96,3.79,1.67,20.269097167856295,618.0369080670479
10.61,-10.88,7.53,26.2,9.57,3.56,2.5,29.351580877356504,602.3105557187861
10.62,-10.88,7.53,26.2,9.57,3.56,2.5,29.351580877356504,602.3105557187861
10.63,12.45,14.39,15.73,3.98,5.86,2.31,24.6882056861166,426.90585098811533
10.64,12.45,14.39,15.73,3.98,5.86,2.31,24.6882056861166,426.90585098811533
10.65,3.88,4.78,-7.14,1.89,14.08,1.88,9.427746284239939,821.0565170031396
10.66,0.5900000000000003,0.6000000000000005,-8.57,1.25,17.345,1.525,8.611213619461545,1000.1965062448885
10.67,-2.7,-3.58,-10.0,0.61,20.61,1.17,10.95930654740527,1183.2835302847725
10.68,-2.7,-3.58,-10.0,0.61,20.61,1.17,10.95930654740527,1183.2835302847725
10.69,-4.79,0.08,-7.31,0.44,21.8,0.92,8.739942791574782,1250.4139348166243
10.7,-4.79,0.08,-7.31,0.44,21.8,0.92,8.739942791574782,1250.4139348166243
10.71,-5.17,2.25,2.9,0.82,21.13,1.07,6.340457396749859,1213.121200224213
10.72,-5.17,2.25,2.9,0.82,21.13,1.07,6.340457396749859,1213.121200224213
10.73,-5.25,1.46,0.98,1.06,20.99,1.43,5.536650612057799,1206.9551449365554
10.74,-5.34,0.785,-1.5749999999999995,1.085,20.995,1.64,5.622494997774565,1208.1896915452555
10.75,-5.43,0.11,-4.13,1.11,21.0,1.85,6.8230418436354325,1209.544439362169
10.76,-5.43,0.11,-4.13,1.11,21.0,1.85,6.8230418436354325,1209.544439362169
10.77,-4.65,0.15,-3.98,0.96,20.89,2.21,6.122532155897591,1204.8442828022316
10.78,-4.65,0.15,-3.98,0.96,20.89,2.21,6.122532155897591,1204.8442828022316
10.79,-4.55,0.87,-0.51,0.67,20.86,2.51,4.6604184361492695,1204.4229747384427
10.8,-4.694999999999987,0.9999999999999885,-0.3000000000000186,0.4850000000000164,20.85,2.6049999999999915,4.809680342808643,1204.225555109175
10.81,-4.84,1.13,-0.09,0.3,20.84,2.7,4.970975759345443,1204.1462919382955
10.82,-4.84,1.13,-0.09,0.3,20.84,2.7,4.970975759345443,1204.1462919382955
10.83,-4.55,0.33,-1.15,-0.09,20.79,2.72,4.704667894761542,1201.3418020444776
10.84,-4.55,0.33,-1.15,-0.09,20.79,2.72,4.704667894761542,1201.3418020444776
10.85,-4.17,-0.16,-2.38,-0.48,20.76,2.61,4.804050374423649,1199.1393437431611
10.86,-4.17,-0.16,-2.38,-0.48,20.76,2.61,4.804050374423649,1199.1393437431611
10.87,-8.144999999999646,-7.524999999999347,-9.804999999999342,-0.6449999999999854,20.77,2.49500000000001,14.802184804952663,1199.1583017186376
10.88,-12.12,-14.89,-17.23,-0.81,20.78,2.38,25.796887409142986,1199.2882618635358
10.89,-33.79,-10.2,-25.48,3.5,6.07,1.58,43.531993981438525,411.5388769549736
10.9,-33.79,-10.2,-25.48,3.5,6.07,1.58,43.531993981438525,411.5388769549736
10.91,-65.25,-18.24,-1.63,6.64,1.86,0.57,67.77106314644917,396.4358705782024
10.92,-65.25,-18.24,-1.63,6.64,1.86,0.57,67.77106314644917,396.4358705782024
10.93,-22.54,-2.01,-1.92,7.09,0.31,-0.74,22.710748556575584,408.8197406321372
10.94,-4.954999999999998,13.58,4.57,7.025,-1.32,-1.03,15.160914385352882,413.77679510581095
10.95,12.63,29.17,11.06,6.96,-2.95,-1.32,33.656045519341696,439.67371553228713
10.96,12.63,29.17,11.06,6.96,-2.95,-1.32,33.656045519341696,439.67371553228713
10.97,-72.23,5.1,7.57,1.5,-1.91,0.75,72.80444903987669,145.63275285761054
10.98,-72.23,5.1,7.57,1.5,-1.91,0.75,72.80444903987669,145.63275285761054
10.99,-50.27,-1.99,5.07,-0.06,16.61,0.57,50.56419583064681,952.2493054258711
11.0,-50.27,-1.99,5.07,-0.06,16.61,0.57,50.56419583064681,952.2493054258711
11.01,-7.85,5.54,1.0,-2.76,26.22,0.09,9.65992235993644,1510.604177626521
11.02,1.965,26.725,-4.685,-5.285,24.295,0.1699999999999999,27.2036040810772,1424.589189079667
11.03,11.78,47.91,-10.37,-7.81,22.37,0.25,50.415011653276444,1357.6506681676324
11.04,11.78,47.91,-10.37,-7.81,22.37,0.25,50.415011653276444,1357.6506681676324
