time,ax,ay,az,gx,gy,gz,normAccel,normGyr
8.59,0.12,-0.03,10.45,-0.0,-0.4,0.23,10.450732031776528,26.436896034094097
8.6,0.12,-0.03,10.45,-0.0,-0.4,0.23,10.450732031776528,26.436896034094097
8.61,0.79,0.44,10.66,0.0,-0.17,0.27,10.69828490927401,18.280855735747043
8.62,0.79,0.44,10.66,0.0,-0.17,0.27,10.69828490927401,18.280855735747043
8.63,0.79,0.44,10.66,0.0,-0.17,0.27,10.69828490927401,18.280855735747043
8.64,0.68,1.52,8.62,0.04,0.28,0.3,8.77936216361986,23.623655083453883
8.65,-0.76,2.5,9.91,0.04,0.54,0.3,10.248692599546539,35.46789242856841
8.66,-0.76,2.5,9.91,0.04,0.54,0.3,10.248692599546539,35.46789242856841
8.67,-0.37,2.685,9.485,0.03,0.425,0.275,9.864651539714922,29.054666628710784
8.68,0.02,2.87,9.06,0.02,0.31,0.25,9.50373084635713,22.846579823944488
8.69,0.34,2.91,10.73,0.0,-0.0,0.23,11.122796410975075,13.178029288008934
8.7,0.34,2.91,10.73,0.0,-0.0,0.23,11.122796410975075,13.178029288008934
8.71,0.48,2.93,11.82,-0.01,-0.16,0.23,12.187194098725104,16.063268008438477
8.72,0.48,2.93,11.82,-0.01,-0.16,0.23,12.187194098725104,16.063268008438477
8.73,0.48,2.93,11.82,-0.01,-0.16,0.23,12.187194098725104,16.063268008438477
8.74,-1.2,4.2,12.76,0.0,-0.05,0.26,13.48694183275067,15.16986239673331
8.75,-0.79,6.29,9.65,0.03,0.02,0.27,11.546025290116075,15.607185241768338
8.76,-0.79,6.29,9.65,0.03,0.02,0.27,11.546025290116075,15.607185241768338
8.77,-0.895,7.005,9.39,0.075,0.02,0.265,11.749176566891828,15.8213142370789
8.78,-1.0,7.72,9.13,0.12,0.02,0.26,11.998137355439802,16.446982800531156
8.79,-0.73,4.06,12.7,0.2,-0.11,0.23,13.353145696801185,18.565954506871797
8.8,-0.73,4.06,12.7,0.2,-0.11,0.23,13.353145696801185,18.565954506871797
8.81,-0.74,1.63,8.64,0.26,0.08,0.23,8.823497039156301,20.41049058245515
8.82,-0.74,1.63,8.64,0.26,0.08,0.23,8.823497039156301,20.41049058245515
8.83,-0.74,1.63,8.64,0.26,0.08,0.23,8.823497039156301,20.41049058245515
8.84,-0.13,-10.64,12.07,0.29,0.72,0.2,16.090724035915848,45.926061009872654
8.85,-0.8,-28.1,9.06,0.24,0.95,-0.01,29.53529414107806,56.144017110296595
8.86,-0.8,-28.1,9.06,0.24,0.95,-0.01,29.53529414107806,56.144017110296595
8.87,1.1399999999998276,-30.594999999999786,10.819999999999844,0.3499999999999902,0.9899999999999964,-0.3649999999999685,32.47192672140018,63.69438089426055
8.88,3.08,-33.09,12.58,0.46,1.03,-0.72,35.5343622427644,76.67579730420827
8.89,3.08,-33.09,12.58,0.46,1.03,-0.72,35.5343622427644,76.67579730420827
8.9,1.47,-25.24,14.03,1.84,1.68,-1.52,28.914691767335164,167.22517038992677
8.91,-3.01,-11.29,13.43,4.03,2.91,-1.3,17.801379160053862,294.3854698078016
8.92,-3.01,-11.29,13.43,4.03,2.91,-1.3,17.801379160053862,294.3854698078016
8.93,-3.01,-11.29,13.43,4.03,2.91,-1.3,17.801379160053862,294.3854698078016
8.94,-4.88,4.04,11.37,5.87,2.98,-0.06,13.015871081107095,377.1999227667259
8.95,-8.94,18.41,7.03,7.59,1.53,1.35,21.639607205307588,450.3153033705944
8.96,-8.94,18.41,7.03,7.59,1.53,1.35,21.639607205307588,450.3153033705944
8.97,-3.4799999999999995,28.26,54.07,7.854999999999999,-1.3950000000000002,1.495,61.10894288072737,465.0570869925003
8.98,1.98,38.11,101.11,8.12,-4.32,1.64,108.0718492485439,535.2983730497086
8.99,1.98,38.11,101.11,8.12,-4.32,1.64,108.0718492485439,535.2983730497086
9.0,1.01,23.98,-2.08,5.03,-6.77,1.89,24.091220392499835,495.22217529442514
9.01,-15.76,20.37,-5.44,2.6,-11.42,1.98,26.323147608141397,680.5831844869053
9.02,-15.76,20.37,-5.44,2.6,-11.42,1.98,26.323147608141397,680.5831844869053
9.03,-15.76,20.37,-5.44,2.6,-11.42,1.98,26.323147608141397,680.5831844869053
9.04,-5.33,19.34,-6.12,1.5,-16.5,1.29,20.973766948261822,952.1519107397088
9.05,-5.67,11.79,2.74,1.35,-18.99,1.14,13.36639816854189,1092.74663299744
9.06,-5.343750000000007,10.39500000000003,2.27250000000001,1.5174999999999963,-19.202499999999997,0.7675000000000082,11.906970450643637,1104.5281016677804
9.07,-5.017500000000014,9.00000000000006,1.8050000000000208,1.6849999999999925,-19.41499999999999,0.3950000000000164,10.461038727105512,1116.8084686003356
9.08,-4.6912500000000215,7.605000000000093,1.3375000000000312,1.852499999999989,-19.627499999999987,0.0225000000000248,9.03508482597157,1129.5714622891426
9.09,-4.365000000000029,6.210000000000123,0.8700000000000414,2.0199999999999854,-19.839999999999986,-0.349999999999967,7.640302677250546,1142.8009126771142
9.1,-4.038749999999978,4.814999999999907,0.4024999999999687,2.187500000000011,-20.052500000000016,-0.7225000000000248,6.297438591403564,1156.4808119161644
9.11,-3.712499999999985,3.4199999999999378,-0.0650000000000208,2.3550000000000075,-20.26500000000001,-1.0950000000000164,5.048096794832629,1170.5953679055372
9.12,-3.3862499999999924,2.02499999999997,-0.5325000000000104,2.5225000000000035,-20.477500000000006,-1.467500000000008,3.9813151486035165,1185.1290508254942
9.13,-3.06,0.63,-1.0,2.69,-20.69,-1.84,3.280320106331088,1200.0666329734288
9.14,-3.188749999999997,0.6987499999999984,-1.092499999999998,2.495000000000004,-20.67,-2.1162499999999937,3.442373363683837,1199.0467246765268
9.15,-3.317499999999994,0.767499999999997,-1.1849999999999958,2.3000000000000087,-20.65,-2.392499999999988,3.6054247322610893,1198.340312509251
9.16,-3.446249999999991,0.8362499999999954,-1.277499999999994,2.105000000000013,-20.630000000000003,-2.668749999999981,3.769344687740817,1197.9479510638062
9.17,-3.5749999999999886,0.9049999999999938,-1.3699999999999917,1.9100000000000168,-20.610000000000003,-2.9449999999999754,3.93402465676054,1197.8699489415
9.18,-3.703750000000008,0.9737500000000046,-1.462500000000006,1.714999999999987,-20.59,-3.221250000000018,4.099373046576766,1198.106367540959
9.19,-3.832500000000006,1.042500000000003,-1.5550000000000042,1.5199999999999914,-20.57,-3.497500000000012,4.265312122225063,1198.657020816718
9.2,-3.961250000000003,1.1112500000000014,-1.647500000000002,1.3249999999999955,-20.55,-3.773750000000006,4.431775533011575,1199.5214760103993
9.21,-4.09,1.18,-1.74,1.13,-20.53,-4.05,4.5987063398308,1200.6990553477847
9.22,5.158750000000001,-1.0912499999999998,-21.13625,0.8274999999999999,-20.66,-3.855,21.7840444405418,1205.094356261976
9.23,14.407500000000002,-3.3625,-40.5325,0.5249999999999999,-20.79,-3.66,43.148186737683424,1209.871069308854
9.24,23.656250000000004,-5.63375,-59.92875,0.2224999999999999,-20.92,-3.465,64.67466567124642,1215.0246960787733
9.25,32.905,-7.904999999999999,-79.32499999999999,-0.08,-21.05,-3.27,86.2420064411769,1220.550462163183
9.260000000000002,42.15375000000165,-10.176250000000405,-98.72125000000344,-0.3825000000000538,-21.180000000000025,-3.074999999999965,107.8256922291173,1226.4433375280278
9.27,51.40250000000165,-12.447500000000405,-118.11750000000345,-0.6850000000000538,-21.310000000000024,-2.8799999999999653,129.4175454440046,1232.698057320483
9.28,60.65125000000164,-14.718750000000403,-137.51375000000343,-0.9875000000000536,-21.440000000000023,-2.6849999999999654,151.01406281266873,1239.3091429305193
9.29,69.9,-16.99,-156.91,-1.29,-21.57,-2.49,172.61349367879674,1246.2709231364347
9.3,61.7257142857145,-12.532857142857257,-130.58285714285782,-1.3914285714285688,-16.371428571428705,-1.9085714285714437,144.97937402208956,947.7255242421448
9.31,53.55142857142899,-8.075714285714511,-104.2557142857156,-1.4928571428571378,-11.172857142857408,-1.3271428571428867,117.48287800564863,650.3075198642568
9.32,45.37714285714348,-3.618571428571766,-77.92857142857343,-1.5942857142857063,-5.974285714286111,-0.74571428571433,90.24988309111295,356.84705005253807
9.329999999999998,37.20285714285798,0.838571428570976,-51.60142857143124,-1.6957142857142755,-0.775714285714816,-0.1642857142857732,63.61967629786586,107.25441490979223
9.34,29.02857142857102,5.295714285714514,-25.27428571428439,-1.7971428571428625,4.422857142857406,0.4171428571428865,38.85218227264526,274.57412032337993
9.35,20.85428571428551,9.75285714285726,1.0528571428578175,-1.8985714285714312,9.621428571428702,0.9985714285714432,23.046213642707155,564.8027365658952
9.36,12.68,14.21,27.38,-2.0,14.82,1.58,33.35222481334641,861.5898447408348
9.37,-0.8949999999987952,4.075000000000902,-3.2399999999972806,-4.299999999999796,18.10499999999971,1.9699999999999651,5.282447349476147,1072.1538093586644
9.38,-14.47,-6.06,-33.86,-6.6,21.39,2.36,37.317611123972014,1289.6791252353219
9.39,-14.47,-6.06,-33.86,-6.6,21.39,2.36,37.317611123972014,1289.6791252353219
9.4,2.04,11.9,-11.11,-8.66,4.45,0.39,16.40742819578986,558.3037878206497
9.41,-28.59,-2.82,91.93,-6.55,-1.8,1.03,96.31440909853521,393.6491093120171
9.42,-28.59,-2.82,91.93,-6.55,-1.8,1.03,96.31440909853521,393.6491093120171
9.43,-28.59,-2.82,91.93,-6.55,-1.8,1.03,96.31440909853521,393.6491093120171
9.44,-26.18,2.57,-8.75,-1.22,-1.26,0.56,27.722911102551983,105.48649394116674
9.45,-22.66,-18.94,-8.22,-2.18,-2.09,-0.37,30.655629173122513,174.32799977226472
9.46,-22.66,-18.94,-8.22,-2.18,-2.09,-0.37,30.655629173122513,174.32799977226472
9.47,-22.835,-13.725,20.1,-1.025,0.0550000000000001,-0.415,33.37398462874938,63.43745135423274
9.48,-23.01,-8.51,48.42,0.13,2.2,-0.46,54.28053610641663,128.9918756551533
9.49,-23.01,-8.51,48.42,0.13,2.2,-0.46,54.28053610641663,128.9918756551533
9.5,2.25,0.33,2.77,-0.1,1.45,-0.36,3.583894529698105,85.79265771242508
9.51,-0.18,-11.97,32.5,0.28,2.12,-0.31,34.634712356247455,123.80264362108683
9.52,-0.18,-11.97,32.5,0.28,2.12,-0.31,34.634712356247455,123.80264362108683
9.53,-0.18,-11.97,32.5,0.28,2.12,-0.31,34.634712356247455,123.80264362108683
9.54,2.21,-7.32,6.39,0.06,1.84,-0.21,9.964868288141094,106.1643021052525
9.55,-2.54,-5.72,9.02,-0.04,0.36,-0.09,10.978633794785214,21.384455208319803
9.56,-2.54,-5.72,9.02,-0.04,0.36,-0.09,10.978633794785214,21.384455208319803
9.57,-1.91,-5.074999999999999,9.55,-0.055,0.0199999999999999,-0.08,10.982086550378304,5.679222868391887
9.58,-1.28,-4.43,10.08,-0.07,-0.32,-0.07,11.08466057216007,19.191948115585287
9.59,-1.28,-4.43,10.08,-0.07,-0.32,-0.07,11.08466057216007,19.191948115585287
9.6,0.14,-0.7,8.01,-0.07,-0.56,-0.04,8.04174732256616,32.416451265349195
9.61,-0.85,4.97,9.97,-0.07,-0.32,-0.02,11.172479581543213,18.803144521495994
9.62,-0.85,4.97,9.97,-0.07,-0.32,-0.02,11.172479581543213,18.803144521495994
9.63,-0.85,4.97,9.97,-0.07,-0.32,-0.02,11.172479581543213,18.803144521495994
9.64,-0.14,6.25,10.96,-0.04,0.05,0.01,12.617594857975114,3.713190901374359
