time,ax,ay,az,gx,gy,gz,normAccel,normGyr
23.04,-0.56,-0.49,9.62,0.1,0.0,0.39,9.64873566846973,23.068222934090603
23.05,-0.56,-0.49,9.62,0.1,0.0,0.39,9.64873566846973,23.068222934090603
23.06,-0.56,-0.49,9.62,0.1,0.0,0.39,9.64873566846973,23.068222934090603
23.07,0.1,-0.09,10.2,0.08,0.11,0.4,10.200887216316039,24.207043055216314
23.08,0.1,-0.09,10.2,0.08,0.11,0.4,10.200887216316039,24.207043055216314
23.09,0.44,0.73,8.25,0.07,0.28,0.41,8.293913430944405,28.727991861474628
23.1,0.2049999999999582,1.795000000000189,8.510000000000046,0.0599999999999982,0.2699999999999982,0.3999999999999982,8.699663786607012,27.86366274878033
23.11,-0.03,2.86,8.77,0.05,0.26,0.39,9.22460839277202,27.008138976475397
23.12,-0.03,2.86,8.77,0.05,0.26,0.39,9.22460839277202,27.008138976475397
23.13,-0.44,3.39,9.35,0.07,0.16,0.38,9.955310140824343,23.961695069778642
23.14,-1.01,1.85,9.93,0.08,0.1,0.36,10.151231452390395,21.892686612239135
23.15,-1.01,1.85,9.93,0.08,0.1,0.36,10.151231452390395,21.892686612239135
23.16,-1.01,1.85,9.93,0.08,0.1,0.36,10.151231452390395,21.892686612239135
23.17,0.53,0.38,9.51,0.09,0.13,0.35,9.532334446503647,22.00486165888648
23.18,0.53,0.38,9.51,0.09,0.13,0.35,9.532334446503647,22.00486165888648
23.19,-0.98,1.42,10.57,0.07,0.17,0.34,10.709887954595978,22.146134396136826
23.200000000000003,-0.2399999999998685,2.140000000000128,10.544999999999996,0.0399999999999946,0.079999999999984,0.3249999999999973,10.762630951584303,19.31343758941087
23.21,0.5,2.86,10.52,0.01,-0.01,0.31,10.91329464460664,17.78016455227934
23.22,0.5,2.86,10.52,0.01,-0.01,0.31,10.91329464460664,17.78016455227934
23.23,1.67,4.64,10.93,-0.01,-0.06,0.32,11.990971603669154,18.66295136724752
23.24,1.05,5.49,9.71,0.0,-0.11,0.34,11.203869867148585,20.474725172673253
23.25,1.05,5.49,9.71,0.0,-0.11,0.34,11.203869867148585,20.474725172673253
23.26,1.05,5.49,9.71,0.0,-0.11,0.34,11.203869867148585,20.474725172673253
23.27,-0.43,3.92,10.82,0.1,-0.16,0.34,11.516236364368353,22.279145408246155
23.28,-0.43,3.92,10.82,0.1,-0.16,0.34,11.516236364368353,22.279145408246155
23.290000000000003,0.0900000000000924,2.4349999999997363,10.53999999999995,0.1550000000000097,-0.1399999999999964,0.3349999999999991,10.81799080236241,22.619137243699964
23.3,0.61,0.95,10.26,0.21,-0.12,0.33,10.321928114456137,23.442307544095698
23.31,-0.68,-4.36,9.35,0.26,0.39,0.33,10.338979640177264,32.84402786830292
23.32,-0.68,-4.36,9.35,0.26,0.39,0.33,10.338979640177264,32.84402786830292
23.33,0.02,-18.21,7.97,0.3,1.2,0.24,19.8777614433819,72.19268218648372
23.34,1.77,-34.84,9.74,0.24,0.95,-0.14,36.21913996770217,56.71124563176607
23.35,1.77,-34.84,9.74,0.24,0.95,-0.14,36.21913996770217,56.71124563176607
23.36,1.77,-34.84,9.74,0.24,0.95,-0.14,36.21913996770217,56.71124563176607
23.37,1.5,-33.05,12.05,0.56,0.85,-0.82,35.210154785232056,74.89108524380632
23.38,1.5,-33.05,12.05,0.56,0.85,-0.82,35.210154785232056,74.89108524380632
23.39,-0.34,-18.4,13.3,1.94,1.93,-1.25,22.70606967310723,172.37366467635448
23.4,-1.8150000000002624,-9.27999999999838,13.149999999999974,2.835000000000159,2.5800000000001155,-0.9199999999999412,16.196762793841557,225.86476650718635
23.41,-3.29,-0.16,13.0,3.73,3.23,-0.59,13.4108053449448,284.7196721804712
23.42,-3.29,-0.16,13.0,3.73,3.23,-0.59,13.4108053449448,284.7196721804712
23.43,-4.95,5.04,14.05,5.33,2.8,0.66,15.725984865820012,347.0275342779097
23.44,-4.95,5.04,14.05,5.33,2.8,0.66,15.725984865820012,347.0275342779097
23.450000000000003,-2.6949999999996,13.25500000000146,18.250000000000743,6.080000000000133,1.1799999999997122,1.1800000000000923,22.716085710352118,361.2415975224761
23.46,-0.44,21.47,22.45,6.83,-0.44,1.7,31.06697603565561,404.0571330912982
23.47,-13.91,39.37,13.28,6.95,-5.93,1.84,43.81601761913102,533.9677704857943
23.48,-13.91,39.37,13.28,6.95,-5.93,1.84,43.81601761913102,533.9677704857943
23.49,-4.4,35.43,23.35,4.8,-13.63,0.39,42.65990389112474,828.2540432473627
23.5,-6.19,28.675,16.025,3.325,-15.945,0.08,33.427119977646896,933.2443960882825
23.51,-7.98,21.92,8.7,1.85,-18.26,-0.23,24.896923504722427,1051.6593116299625
23.52,-7.98,21.92,8.7,1.85,-18.26,-0.23,24.896923504722427,1051.6593116299625
23.53,-5.44,3.96,0.07,0.41,-21.38,-0.32,6.729048966978915,1225.3461658062126
23.54,-5.44,3.96,0.07,0.41,-21.38,-0.32,6.729048966978915,1225.3461658062126
23.55,-3.21,1.1,-1.07,0.6,-22.55,-0.5,3.5579488472995227,1292.7945497527262
23.56,-4.135000000000164,0.5449999999999015,-0.4699999999998934,0.8850000000000506,-22.30999999999996,-0.5850000000000151,4.197159753928977,1279.7131960391343
23.57,-5.06,-0.01,0.13,1.17,-22.07,-0.67,5.061679563148974,1266.875245672551
23.58,-5.06,-0.01,0.13,1.17,-22.07,-0.67,5.061679563148974,1266.875245672551
23.59,-3.92,-0.01,-2.26,1.59,-22.26,-1.22,4.524831488575016,1280.5627229713903
23.6,-3.46,0.03,-2.6,1.77,-22.19,-1.82,4.328105821257147,1279.6873507106134
23.610000000000003,-3.46,0.03,-2.6,1.77,-22.19,-1.82,4.328105821257147,1279.6873507106134
23.62,-3.46,0.03,-2.6,1.77,-22.19,-1.82,4.328105821257147,1279.6873507106134
23.63,-4.52,0.06,-1.56,1.7,-21.97,-2.41,4.782007946459311,1270.0795650125315
23.64,-4.52,0.06,-1.56,1.7,-21.97,-2.41,4.782007946459311,1270.0795650125315
23.65,-4.27,0.4,-1.5,1.37,-22.04,-2.99,4.543445828883623,1276.7816498367847
23.66,-4.385,0.5549999999999999,-1.645,1.105,-22.03,-3.18,4.7161716465794585,1276.8789965657659
23.67,-4.5,0.71,-1.79,0.84,-22.02,-3.37,4.8947114317393625,1277.2499002596362
23.68,-4.5,0.71,-1.79,0.84,-22.02,-3.37,4.8947114317393625,1277.2499002596362
23.69,-5.11,0.78,-1.32,0.2,-21.93,-3.5,5.33506326110572,1272.4500012340002
23.7,-5.27,0.95,-1.1,-0.45,-21.95,-3.41,5.4667540643420205,1272.9893460889539
23.71,-5.27,0.95,-1.1,-0.45,-21.95,-3.41,5.4667540643420205,1272.9893460889539
23.72,-5.27,0.95,-1.1,-0.45,-21.95,-3.41,5.4667540643420205,1272.9893460889539
23.73,-5.32,1.12,-1.27,-1.0,-21.97,-3.08,5.582983073590677,1272.3885978969424
23.74,-5.32,1.12,-1.27,-1.0,-21.97,-3.08,5.582983073590677,1272.3885978969424
23.75,-5.44,1.18,-1.22,-1.36,-21.95,-2.56,5.6986314146468535,1268.5623298726603
23.76,0.6850000000010876,10.02000000000157,-22.14500000000372,-1.7300000000000657,-20.21499999999969,-2.149999999999927,24.316057451819727,1168.9766061885782
23.77,6.81,18.86,-43.07,-2.1,-18.48,-1.74,47.50895284049103,1070.2937495023964
23.78,6.81,18.86,-43.07,-2.1,-18.48,-1.74,47.50895284049103,1070.2937495023964
23.79,-21.1,-6.46,-42.1,-5.32,6.15,0.42,47.53263720855387,466.53438099890735
23.8,-26.2,-12.35,-125.19,-3.32,15.14,-0.02,128.4970762313291,888.0705356344515
23.81,-26.2,-12.35,-125.19,-3.32,15.14,-0.02,128.4970762313291,888.0705356344515
23.82,-26.2,-12.35,-125.19,-3.32,15.14,-0.02,128.4970762313291,888.0705356344515
23.83,-86.65,1.27,46.48,1.07,6.55,-1.81,98.33730624742576,394.14957351845607
23.84,-86.65,1.27,46.48,1.07,6.55,-1.81,98.33730624742576,394.14957351845607
23.85,16.38,-6.42,1.95,-1.8,-8.74,-3.91,17.70094065297096,558.2023492209701
23.860000000000003,8.909999999998671,-10.670000000000757,-12.100000000002495,-1.3249999999999156,-7.184999999999723,-2.974999999999834,18.429514372333657,451.9851750823583
23.87,1.44,-14.92,-26.15,-0.85,-5.63,-2.04,30.141375217464777,346.53764454930376
23.88,1.44,-14.92,-26.15,-0.85,-5.63,-2.04,30.141375217464777,346.53764454930376
23.89,-1.19,-2.91,16.37,-1.18,0.15,0.38,16.66916614591144,71.54634820571425
23.9,-1.19,-2.91,16.37,-1.18,0.15,0.38,16.66916614591144,71.54634820571425
23.91,0.195,0.3149999999999999,12.435,-0.35,2.305,0.45,12.44051747316003,136.04611082836936
23.92,1.58,3.54,8.5,0.48,4.46,0.52,9.34226953154318,258.73596621262277
23.93,-3.81,13.11,11.12,0.76,4.53,-0.01,17.608026578807745,263.17792091351015
23.94,-3.81,13.11,11.12,0.76,4.53,-0.01,17.608026578807745,263.17792091351015
23.95,-4.74,5.31,6.66,1.06,1.48,-0.68,9.747784363638743,111.34266882100657
23.96,-4.104999999999888,3.78999999999973,8.080000000000252,0.5949999999999174,0.7749999999998749,-0.5749999999999813,9.823518972343928,64.95620779810282
23.97,-3.47,2.27,9.5,0.13,0.07,-0.47,10.365510117693194,28.226531865389525
23.98,-3.47,2.27,9.5,0.13,0.07,-0.47,10.365510117693194,28.226531865389525
23.99,-2.25,-2.81,8.34,-0.49,-0.14,-0.09,9.083732712932498,29.650219906994707
24.0,-2.25,-2.81,8.34,-0.49,-0.14,-0.09,9.083732712932498,29.650219906994707
24.01,-2.1749999999999865,-3.890000000000192,9.330000000000176,-0.4950000000000009,-0.3450000000000364,-0.09,10.33980778351342,34.95277361178875
24.02,-2.1,-4.97,10.32,-0.5,-0.55,-0.09,11.645312361632898,42.899198591775395
24.03,0.1,-3.5,9.39,-0.0,-0.33,-0.14,10.021581711486467,20.538758871375585
24.04,0.1,-3.5,9.39,-0.0,-0.33,-0.14,10.021581711486467,20.538758871375585
24.05,-0.94,-0.58,9.59,0.09,0.44,-0.1,9.653398365342643,26.362285642513744
24.06,-1.5000000000000997,-0.845000000000047,9.615000000000006,0.0749999999999973,0.5500000000000196,-0.1050000000000009,9.767919430462173,32.368312384279754
24.07,-2.06,-1.11,9.64,0.06,0.66,-0.11,9.919944556296674,38.49065478476952
24.08,-2.06,-1.11,9.64,0.06,0.66,-0.11,9.919944556296674,38.49065478476952
24.09,-2.09,-1.18,9.53,0.11,0.49,-0.18,9.827583629763726,30.566103566096587
24.1,-2.09,-1.18,9.53,0.11,0.49,-0.18,9.827583629763726,30.566103566096587
24.110000000000003,-1.97499999999998,-1.2600000000000142,9.47499999999999,0.1350000000000044,0.399999999999984,-0.2450000000000115,9.76032017917444,27.966562407458632
24.12,-1.86,-1.34,9.42,0.16,0.31,-0.31,9.694926508230994,26.73939458986605
24.13,-1.65,-1.3,9.68,0.13,0.21,-0.35,9.90529656295055,24.543735763472416
