time,ax,ay,az,gx,gy,gz,normAccel,normGyr
59.32,0.64,-0.17,9.46,0.0,-0.11,-0.01,9.483148211432743,6.32852569483156
59.33,0.64,-0.17,9.46,0.0,-0.11,-0.01,9.483148211432743,6.32852569483156
59.34,0.64,-0.17,9.46,0.0,-0.11,-0.01,9.483148211432743,6.32852569483156
59.35,0.62,-0.16,9.61,-0.02,-0.09,-0.03,9.631308322341258,5.555031925210726
59.36,0.32,-0.64,9.99,0.01,-0.15,-0.01,10.015592843162105,8.632479605841336
59.37,0.32,-0.64,9.99,0.01,-0.15,-0.01,10.015592843162105,8.632479605841336
59.38,0.3299999999999964,-1.1049999999998348,9.900000000000032,0.0349999999999911,-0.1999999999999822,-3.552713678800501e-15,9.966941607133066,11.633300983779657
59.39,0.34,-1.57,9.81,0.06,-0.25,0.01,9.940653902032803,14.741837754187143
59.4,0.22,-2.3,10.13,0.1,-0.33,0.02,10.390153993084029,19.789866031795192
59.41,0.22,-2.3,10.13,0.1,-0.33,0.02,10.390153993084029,19.789866031795192
59.42,0.11,-2.18,10.38,0.07,-0.42,-0.01,10.607021259524279,24.402890646235544
59.43,0.11,-2.18,10.38,0.07,-0.42,-0.01,10.607021259524279,24.402890646235544
59.44,0.11,-2.18,10.38,0.07,-0.42,-0.01,10.607021259524279,24.402890646235544
59.45,0.45,-1.78,10.11,0.02,-0.51,-0.05,10.27535887451139,29.38329576567422
59.46,0.36,-2.3,10.37,0.03,-0.52,-0.04,10.628099547896603,29.93121870085154
59.47,0.36,-2.3,10.37,0.03,-0.52,-0.04,10.628099547896603,29.93121870085154
59.48,0.4149999999999804,-2.3699999999999752,10.464999999999966,0.0250000000000017,-0.564999999999984,-0.0499999999999964,10.738032873855396,32.5301802473676
59.49,0.47,-2.44,10.56,0.02,-0.61,-0.06,10.84841463071909,35.137778362318485
59.5,0.48,-1.25,10.34,-0.01,-0.76,-0.1,10.426336844740822,43.9238578895559
59.51,0.48,-1.25,10.34,-0.01,-0.76,-0.1,10.426336844740822,43.9238578895559
59.52,0.4,-0.13,11.51,-0.01,-0.95,-0.11,11.517682058469925,54.79765477058067
59.53,0.4,-0.13,11.51,-0.01,-0.95,-0.11,11.517682058469925,54.79765477058067
59.54,0.4,-0.13,11.51,-0.01,-0.95,-0.11,11.517682058469925,54.79765477058067
59.55,0.28,0.22,11.65,-0.01,-1.26,-0.12,11.655440789605514,72.5216109401454
59.56,0.17,-0.26,11.84,0.01,-1.66,-0.13,11.844074467851001,95.40392489852061
59.57,0.17,-0.26,11.84,0.01,-1.66,-0.13,11.844074467851001,95.40392489852061
59.58,6.039613253960853e-14,-0.5699999999998899,12.144999999999891,0.0149999999999982,-1.9049999999999128,-0.1449999999999947,12.158368517198236,109.46755660600095
59.59,-0.17,-0.88,12.45,0.02,-2.15,-0.16,12.482219353945034,123.53187976400906
59.6,0.21,-1.03,11.67,0.0,-2.77,-0.22,11.717247970406703,159.2090847607186
59.61,0.21,-1.03,11.67,0.0,-2.77,-0.22,11.717247970406703,159.2090847607186
59.62,1.12,-1.01,10.69,0.02,-3.2,-0.23,10.795860317732904,183.82304154424136
59.63,1.12,-1.01,10.69,0.02,-3.2,-0.23,10.795860317732904,183.82304154424136
59.64,1.12,-1.01,10.69,0.02,-3.2,-0.23,10.795860317732904,183.82304154424136
59.65,1.24,-0.54,10.21,0.01,-3.54,-0.26,10.299189288482857,203.37419218205386
59.66,1.82,0.48,9.14,-0.04,-3.88,-0.31,9.33179511133844,223.0278235916159
59.67,1.82,0.48,9.14,-0.04,-3.88,-0.31,9.33179511133844,223.0278235916159
59.68,2.03,0.88,8.92,-0.045,-4.029999999999999,-0.325,9.19030467394852,231.6659745268702
59.69,2.24,1.28,8.7,-0.05,-4.18,-0.34,9.074469681474504,240.30440091659077
59.7,2.53,1.97,8.38,-0.03,-4.51,-0.35,8.97252472830251,259.18662724659487
59.71,2.53,1.97,8.38,-0.03,-4.51,-0.35,8.97252472830251,259.18662724659487
59.72,2.63,2.45,7.84,-0.02,-4.88,-0.37,8.62467390687903,280.40826102947875
59.73,2.63,2.45,7.84,-0.02,-4.88,-0.37,8.62467390687903,280.40826102947875
59.74,3.3549999999997424,2.2850000000000588,6.165000000000595,-0.0150000000000017,-5.079999999999929,-0.3849999999999947,7.381359969545306,291.89852071156497
59.75,4.08,2.12,4.49,-0.01,-5.28,-0.4,6.426577627322337,303.3891327071626
59.76,8.26,1.6,-1.33,0.09,-5.46,-0.35,8.518010331057365,313.51944803045575
59.77,8.26,1.6,-1.33,0.09,-5.46,-0.35,8.518010331057365,313.51944803045575
59.78,5.5,0.99,-7.72,0.38,-5.87,-0.25,9.53039873247704,337.33446719174293
59.79,5.5,0.99,-7.72,0.38,-5.87,-0.25,9.53039873247704,337.33446719174293
59.8,5.5,0.99,-7.72,0.38,-5.87,-0.25,9.53039873247704,337.33446719174293
59.81,10.07,0.87,-6.26,0.87,-7.45,-0.27,11.889045377993979,430.0325942888127
59.82,2.79,2.18,-10.68,1.32,-9.09,-0.48,11.251617661474283,526.9994039244339
59.83,2.79,2.18,-10.68,1.32,-9.09,-0.48,11.251617661474283,526.9994039244339
59.84,8.714999999997897,0.2200000000006965,-8.405000000000808,1.5499999999999183,-8.115000000000347,-0.5249999999999839,12.109651109754452,474.31545510861747
59.85,14.64,-1.74,-6.13,1.78,-7.14,-0.57,15.96665588030255,422.8758470562663
59.86,-4.51,0.38,3.04,1.97,-4.21,-0.65,5.452164707710141,268.90893788582724
59.87,-4.51,0.38,3.04,1.97,-4.21,-0.65,5.452164707710141,268.90893788582724
59.88,41.24,-0.31,-6.32,2.13,-4.3,-0.93,41.72260897882586,280.05740974523525
59.89,41.24,-0.31,-6.32,2.13,-4.3,-0.93,41.72260897882586,280.05740974523525
59.9,41.24,-0.31,-6.32,2.13,-4.3,-0.93,41.72260897882586,280.05740974523525
59.91,3.81,-0.98,-3.69,2.17,-2.95,-0.81,5.393755648896231,214.89736696569878
59.92,11.07,1.7,-2.12,2.18,-2.21,-0.78,11.398653429243298,183.3903562765374
59.93,11.07,1.7,-2.12,2.18,-2.21,-0.78,11.398653429243298,183.3903562765374
59.94,10.90000000000006,1.6600000000000144,-2.7199999999997866,2.189999999999997,-1.870000000000121,-0.7650000000000053,11.356231769385486,170.72051255439249
59.95,10.73,1.62,-3.32,2.2,-1.53,-0.75,11.348114380812346,159.43676706042726
59.96,8.84,0.85,-3.91,2.23,-1.25,-0.72,9.703411771124628,152.17180892567728
59.97,8.84,0.85,-3.91,2.23,-1.25,-0.72,9.703411771124628,152.17180892567728
59.98,7.27,0.09,-3.1,2.21,-1.8,-0.82,7.903859816570635,169.93294576943669
59.99,7.27,0.09,-3.1,2.21,-1.8,-0.82,7.903859816570635,169.93294576943669
60.0,7.27,0.09,-3.1,2.21,-1.8,-0.82,7.903859816570635,169.93294576943669
60.01,6.65,-0.19,-2.81,2.14,-2.55,-1.04,7.221821099971946,199.8276046987449
60.02,5.84,-0.02,-2.52,2.04,-3.06,-1.3,6.360534568729267,223.49173402320426
60.03,5.84,-0.02,-2.52,2.04,-3.06,-1.3,6.360534568729267,223.49173402320426
60.04,5.19,0.355,-3.365,1.975,-3.35,-1.435,6.195591174375534,237.50016355388956
60.05,4.54,0.73,-4.21,1.91,-3.64,-1.57,6.2344687023033485,252.11835758773577
60.06,3.9,1.16,-4.64,1.81,-4.27,-1.83,6.171320766254174,285.663564298909
