time,ax,ay,az,gx,gy,gz,normAccel,normGyr
37.14,0.22,-0.61,8.61,-0.06,0.34,0.08,8.634384749361127,20.305675993708636
37.15,0.22,-0.61,8.61,-0.06,0.34,0.08,8.634384749361127,20.305675993708636
37.16,0.46,-2.73,9.86,-0.07,0.8,0.15,10.241293863570169,46.80753099660179
37.17,0.46,-2.73,9.86,-0.07,0.8,0.15,10.241293863570169,46.80753099660179
37.18,0.7,-4.16,10.12,-0.08,0.86,0.21,10.964032105024136,50.928825797815904
37.19,0.7,-4.16,10.12,-0.08,0.86,0.21,10.964032105024136,50.928825797815904
37.2,0.33,-4.55,9.84,-0.04,0.52,0.23,10.846059192167447,32.65859432245693
37.21,-0.0199999999999999,-4.63,9.575,-0.02,0.325,0.235,10.635691091790886,23.007662287581365
37.22,-0.37,-4.71,9.31,-0.0,0.13,0.24,10.440167623175405,15.638704328552123
37.23,-0.37,-4.71,9.31,-0.0,0.13,0.24,10.440167623175405,15.638704328552123
37.24,-1.38,-2.26,10.11,-0.02,0.07,0.25,10.451033441722402,14.918923236306172
37.25,-1.38,-2.26,10.11,-0.02,0.07,0.25,10.451033441722402,14.918923236306172
37.26,-0.42,-1.37,9.93,-0.04,0.32,0.3,10.032856024084069,25.23617308353781
37.27,-0.2650000000000551,-1.2950000000000266,9.615000000000112,-0.0549999999999946,0.4749999999999449,0.3299999999999893,9.705435332843255,33.28830550578187
37.28,-0.11,-1.22,9.3,-0.07,0.63,0.36,9.380325154279035,41.76701203577102
37.29,-0.11,-1.22,9.3,-0.07,0.63,0.36,9.380325154279035,41.76701203577102
37.3,0.46,-1.22,9.06,-0.1,0.85,0.44,9.15333818887951,55.13807179024196
37.31,0.46,-1.22,9.06,-0.1,0.85,0.44,9.15333818887951,55.13807179024196
37.32,-0.49,-0.94,10.82,-0.1,0.89,0.52,10.871802978347244,59.33641217993885
37.33,0.0,0.11,8.63,-0.09,0.69,0.56,8.630701014402018,51.17639012317466
37.34,0.0,0.11,8.63,-0.09,0.69,0.56,8.630701014402018,51.17639012317466
37.35,0.0,0.11,8.63,-0.09,0.69,0.56,8.630701014402018,51.17639012317466
37.36,-0.89,-0.34,10.26,-0.07,0.38,0.57,10.304139944701838,39.4551235098253
37.37,-0.89,-0.34,10.26,-0.07,0.38,0.57,10.304139944701838,39.4551235098253
37.38,-1.61,-3.23,11.25,-0.07,0.18,0.57,11.814715400719562,34.48234997755016
37.39,-1.63,-8.79,9.8,-0.07,-0.09,0.54,13.265029212180425,31.621872402082346
37.4,-1.63,-8.79,9.8,-0.07,-0.09,0.54,13.265029212180425,31.621872402082346
37.41,-1.63,-8.79,9.8,-0.07,-0.09,0.54,13.265029212180425,31.621872402082346
37.42,-1.43,-13.48,10.23,-0.07,-0.3,0.55,16.98258519778423,36.11907035756412
37.43,-1.43,-13.48,10.23,-0.07,-0.3,0.55,16.98258519778423,36.11907035756412
37.44,-2.95,-14.21,10.66,-0.07,-0.67,0.51,18.007281860403033,48.410695649550256
37.45,-2.95,-14.21,10.66,-0.07,-0.67,0.51,18.007281860403033,48.410695649550256
37.46,-4.465,-9.735,9.83,0.0,-1.095,0.425,14.537377686501786,67.29876507629024
37.47,-5.98,-5.26,9.0,0.07,-1.52,0.34,12.017820101832113,89.33181939400735
37.48,-25.89,1.67,5.4,0.21,-1.71,-0.11,26.499830188135167,98.91282912211136
37.49,-25.89,1.67,5.4,0.21,-1.71,-0.11,26.499830188135167,98.91282912211136
37.5,-40.24,8.04,13.93,0.21,-0.24,-1.36,43.33525239340369,80.03586715203326
37.51,-40.24,8.04,13.93,0.21,-0.24,-1.36,43.33525239340369,80.03586715203326
37.52,-49.71,10.78,33.83,-0.15,0.99,-3.19,61.08814451266301,191.56593471929264
37.53,-49.71,19.03,72.67,-1.62,1.48,-5.28,90.07859845712521,327.60562352042126
37.54,-49.71,19.03,72.67,-1.62,1.48,-5.28,90.07859845712521,327.60562352042126
37.55,-49.71,19.03,72.67,-1.62,1.48,-5.28,90.07859845712521,327.60562352042126
37.56,-18.5,25.02,52.59,-4.73,0.18,-7.13,61.10612489759108,490.34677448600615
37.57,-18.5,25.02,52.59,-4.73,0.18,-7.13,61.10612489759108,490.34677448600615
37.58,14.74,30.19,15.43,-7.13,0.73,-7.35,36.970104138344,588.2027810902824
37.59,15.92,23.54,-9.76,-7.53,1.13,-6.27,30.047222833400095,565.1429268398284
37.6,15.92,23.54,-9.76,-7.53,1.13,-6.27,30.047222833400095,565.1429268398284
37.61,10.15,13.38,-3.06,-6.74,1.48,-6.05,17.070749837075116,525.81326742596
37.62,4.38,3.22,3.64,-5.95,1.83,-5.83,6.542354316299294,488.6638095273266
37.63,4.38,3.22,3.64,-5.95,1.83,-5.83,6.542354316299294,488.6638095273266
37.64,-1.65,5.61,2.82,-1.91,2.17,-5.64,6.492072088324343,363.1241792257598
37.65,-1.65,5.61,2.82,-1.91,2.17,-5.64,6.492072088324343,363.1241792257598
37.66,-0.52,3.91,-4.49,-1.19,2.29,-5.66,5.976503994811683,356.4138296401873
37.67,0.28,5.4,-0.47,-0.97,2.42,-5.69,5.42764221370569,358.6065898328558
37.68,0.28,5.4,-0.47,-0.97,2.42,-5.69,5.42764221370569,358.6065898328558
37.69,0.28,5.4,-0.47,-0.97,2.42,-5.69,5.42764221370569,358.6065898328558
37.7,-0.55,6.47,2.17,-0.75,2.61,-5.69,6.846334785854399,361.2393256241793
37.71,-0.55,6.47,2.17,-0.75,2.61,-5.69,6.846334785854399,361.2393256241793
37.72,-0.44,5.92,1.32,-0.48,2.71,-5.7,6.081315647127684,362.66237054600185
37.73,-0.44,5.92,1.32,-0.48,2.71,-5.7,6.081315647127684,362.66237054600185
37.74,-0.62,5.4,-0.17,-0.21,2.82,-5.7,5.438133871099534,364.56733162716387
37.75,-0.5800000000000001,5.46,-0.0649999999999999,-0.0749999999999999,2.87,-5.695,5.491104169472657,365.41750619013897
37.76,-0.54,5.52,0.04,0.06,2.92,-5.69,5.546494388350176,366.4516405123812
37.77,-0.54,5.52,0.04,0.06,2.92,-5.69,5.546494388350176,366.4516405123812
37.78,-0.58,5.72,0.82,0.33,2.98,-5.67,5.8075123762244365,367.4897878690687
37.79,-0.58,5.72,0.82,0.33,2.98,-5.67,5.8075123762244365,367.4897878690687
37.8,-0.56,5.79,0.43,0.62,3.02,-5.64,5.832889506925363,368.2759490747735
37.81,-0.56,5.79,0.43,0.62,3.02,-5.64,5.832889506925363,368.2759490747735
37.82,-0.65,5.66,0.37,0.91,3.05,-5.59,5.709203096755273,368.56242227773436
37.83,-0.62,5.64,0.43,1.2,3.05,-5.54,5.690246040374704,368.8090652180632
37.84,-0.62,5.64,0.43,1.2,3.05,-5.54,5.690246040374704,368.8090652180632
37.85,-0.62,5.64,0.43,1.2,3.05,-5.54,5.690246040374704,368.8090652180632
37.86,-0.66,5.75,0.33,1.48,3.04,-5.47,5.7971544743951755,368.44750333175097
37.87,-0.66,5.75,0.33,1.48,3.04,-5.47,5.7971544743951755,368.44750333175097
37.88,6.72,21.7,-10.18,1.57,4.78,-5.1,24.89338868053122,410.46857997118093
37.89,-2.66,15.51,-28.7,1.13,9.63,-3.9,32.731112110650926,598.7992854140798
37.9,-2.66,15.51,-28.7,1.13,9.63,-3.9,32.731112110650926,598.7992854140798
37.91,-2.66,15.51,-28.7,1.13,9.63,-3.9,32.731112110650926,598.7992854140798
37.92,34.11,-2.61,-23.63,-0.15,3.31,-3.57,41.57741093430422,279.0692681835526
37.93,34.11,-2.61,-23.63,-0.15,3.31,-3.57,41.57741093430422,279.0692681835526
37.94,-9.82,49.33,63.04,3.36,3.28,-2.19,80.64690260636176,296.856837449216
37.95,-9.82,49.33,63.04,3.36,3.28,-2.19,80.64690260636176,296.856837449216
37.96,-12.58,37.47,96.22,6.89,-2.07,-3.72,104.02185203119582,464.0441742459013
37.97,-15.56,6.4,17.3,1.68,-2.9,-1.66,24.13221083945688,214.28927930245197
37.98,-15.56,6.4,17.3,1.68,-2.9,-1.66,24.13221083945688,214.28927930245197
37.99,-15.56,6.4,17.3,1.68,-2.9,-1.66,24.13221083945688,214.28927930245197
38.0,2.27,-1.58,5.51,0.52,-1.82,-0.14,6.165176396503186,108.74732914091412
38.01,2.27,-1.58,5.51,0.52,-1.82,-0.14,6.165176396503186,108.74732914091412
38.02,1.46,-6.97,8.0,0.04,-0.96,0.02,10.71039214968341,55.063599091149555
38.03,1.46,-6.97,8.0,0.04,-0.96,0.02,10.71039214968341,55.063599091149555
38.04,0.18,-4.73,9.19,-0.09,-0.87,0.04,10.337378778007508,50.16571885181157
38.05,-5.44,2.22,11.14,-0.19,-0.88,0.04,12.594506739050958,51.63300336843226
38.06,-5.44,2.22,11.14,-0.19,-0.88,0.04,12.594506739050958,51.63300336843226
38.07,-3.915,9.04,11.025,-0.1699999999999999,-0.88,0.04,14.785109062837513,51.40360718008468
38.08,-2.39,15.86,10.91,-0.15,-0.88,0.04,19.39793287956219,51.19883661260652
38.09,-2.39,15.86,10.91,-0.15,-0.88,0.04,19.39793287956219,51.19883661260652
38.1,-1.39,19.37,11.98,-0.01,-0.88,0.04,22.817743096108345,50.475598146471874
38.11,-1.39,19.37,11.98,-0.01,-0.88,0.04,22.817743096108345,50.475598146471874
38.12,-1.83,13.59,13.33,0.24,-0.88,0.04,19.123961409707977,52.31201939678672
38.13,-2.47,6.77,9.63,0.38,-0.88,0.04,12.027913368494138,54.96812680591189
38.14,-2.47,6.77,9.63,0.38,-0.88,0.04,12.027913368494138,54.96812680591189
38.15,-2.47,6.77,9.63,0.38,-0.88,0.04,12.027913368494138,54.96812680591189
38.16,-1.64,4.9,11.31,0.45,-0.81,0.04,12.434456160202584,53.14009806426878
38.17,-1.64,4.9,11.31,0.45,-0.81,0.04,12.434456160202584,53.14009806426878
38.18,1.0,5.24,11.43,1.09,0.4,0.03,12.61358394747504,66.54701921322881
38.19,6.11,-0.96,8.59,1.56,0.65,0.04,10.584979924402314,96.85698584216092
38.2,6.11,-0.96,8.59,1.56,0.65,0.04,10.584979924402314,96.85698584216092
38.21,6.11,-0.96,8.59,1.56,0.65,0.04,10.584979924402314,96.85698584216092
38.22,8.72,-5.51,9.36,1.16,-0.68,0.04,13.928679047203293,77.075069711167
38.23,8.72,-5.51,9.36,1.16,-0.68,0.04,13.928679047203293,77.075069711167
38.24,8.84,-10.09,11.87,0.67,-1.49,0.04,17.912303034506756,93.63259388878086
38.25,8.84,-10.09,11.87,0.67,-1.49,0.04,17.912303034506756,93.63259388878086
38.26,7.810000000000366,-11.029999999999667,10.595000000000454,0.6600000000000036,-1.400000000000032,0.04,17.172973679593408,88.71044686083181
38.27,6.78,-11.97,9.32,0.65,-1.31,0.04,16.616609160716276,83.8204160708782
38.28,4.12,-6.29,9.29,0.96,-0.39,0.04,11.951677706497946,59.413817148602966
38.29,4.12,-6.29,9.29,0.96,-0.39,0.04,11.951677706497946,59.413817148602966
38.3,3.77,0.8,9.2,1.05,0.33,0.04,9.974612774438915,63.10343970469633
38.31,3.77,0.8,9.2,1.05,0.33,0.04,9.974612774438915,63.10343970469633
38.32,3.06,-5.72,8.05,0.57,0.46,0.04,10.33849602214945,42.02949080040489
38.33,0.19,-7.96,8.62,-0.03,-0.21,0.04,11.734653808272316,12.368458914131025
