time,ax,ay,az,gx,gy,gz
0.002,-9.99,-0.22,-0.21,-0.0,0.0,-0.0
0.014,-9.99,-0.22,-0.21,-0.0,0.0,-0.0
0.026,-10.02,-0.19,-0.31,-0.01,0.0,-0.0
0.036,-10.02,-0.18682539682539684,-0.3322222222222222,-0.008412698412698413,0.0031746031746031737,-0.0015873015873015869
0.046,-10.02,-0.18365079365079365,-0.35444444444444445,-0.006825396825396826,0.006349206349206349,-0.0031746031746031746
0.055999999999999994,-10.02,-0.18047619047619048,-0.37666666666666665,-0.00523809523809524,0.009523809523809521,-0.004761904761904761
0.066,-10.02,-0.17730158730158732,-0.3988888888888889,-0.00365079365079365,0.0126984126984127,-0.00634920634920635
0.076,-10.02,-0.17412698412698413,-0.4211111111111111,-0.002063492063492064,0.015873015873015872,-0.007936507936507936
0.089,-10.02,-0.17,-0.45,-0.0,0.02,-0.01
0.1,-10.0,-0.18,-0.35,0.01,0.01,-0.01
0.112,-10.0,-0.18,-0.35,0.01,0.01,-0.01
0.123,-9.99,-0.21,-0.39,0.01,0.0,-0.01
0.136,-9.99,-0.21,-0.39,0.01,0.0,-0.01
0.147,-9.95,-0.19,-0.57,0.0,-0.01,-0.0
0.159,-10.05,-0.16,0.46,0.0,-0.03,0.0
0.171,-10.05,-0.16,0.46,0.0,-0.03,0.0
0.184,-10.05,-0.2,-0.16,0.0,0.0,-0.0
0.194,-10.05,-0.2,-0.16,0.0,0.0,-0.0
0.206,-10.02,-0.19,-0.43,-0.0,0.0,-0.0
0.217,-10.03,-0.15,-0.35,-0.01,0.0,-0.0
0.231,-10.03,-0.15,-0.35,-0.01,0.0,-0.0
0.243,-10.04,-0.15,-0.39,-0.0,0.0,-0.0
0.254,-10.04,-0.15,-0.39,-0.0,0.0,-0.0
0.266,-10.02,-0.19,-0.36,0.0,0.0,-0.0
0.279,-10.04,-0.19,-0.33,0.0,0.0,-0.01
0.291,-10.04,-0.19,-0.33,0.0,0.0,-0.01
0.302,-10.04,-0.18,-0.36,0.0,0.0,-0.01
0.314,-10.04,-0.18,-0.36,0.0,0.0,-0.01
0.327,-10.02,-0.21,-0.34,0.0,0.0,-0.0
0.338,-10.03,-0.19,-0.32,0.0,0.0,-0.0
0.35,-10.03,-0.19,-0.32,0.0,0.0,-0.0
0.361,-10.03,-0.19,-0.34,0.0,0.0,-0.0
0.373,-10.03,-0.19,-0.34,0.0,0.0,-0.0
0.386,-10.03,-0.18,-0.33,0.0,0.0,-0.0
0.397,-10.03,-0.18,-0.33,0.0,0.0,-0.0
0.409,-10.04,-0.18,-0.35,0.0,0.0,-0.0
0.42,-10.03,-0.18,-0.34,0.0,-0.0,-0.0
0.433,-10.03,-0.18,-0.34,0.0,-0.0,-0.0
0.445,-10.04,-0.2,-0.35,0.0,0.0,-0.0
0.456,-10.04,-0.2,-0.35,0.0,0.0,-0.0
0.468,-10.03,-0.18,-0.38,-0.0,0.0,-0.0
0.481,-10.03,-0.19,-0.37,-0.0,-0.0,-0.0
0.492,-10.03,-0.19,-0.37,-0.0,-0.0,-0.0
0.504,-10.08,-0.03,-0.44,-0.01,-0.01,-0.0
0.516,-10.08,-0.03,-0.44,-0.01,-0.01,-0.0
0.52,-10.31,0.03,-0.91,-0.02,-0.06,-0.0
0.53,-10.315128205128206,0.013333333333333308,-0.8676923076923077,-0.013589743589743582,-0.16128205128205142,-0.0038461538461538516
0.54,-10.32025641025641,-0.0033333333333333826,-0.8253846153846153,-0.007179487179487161,-0.2625641025641029,-0.007692307692307703
0.55,-10.325384615384616,-0.020000000000000073,-0.7830769230769229,-0.0007692307692307408,-0.3638461538461543,-0.011538461538461555
0.56,-10.330512820512821,-0.036666666666666764,-0.7407692307692305,0.005641025641025678,-0.46512820512820574,-0.015384615384615406
0.5700000000000001,-10.335641025641026,-0.053333333333333455,-0.6984615384615381,0.012051282051282097,-0.5664102564102571,-0.019230769230769256
0.5800000000000001,-10.340769230769231,-0.07000000000000015,-0.6561538461538459,0.01846153846153852,-0.6676923076923087,-0.02307692307692311
0.5900000000000001,-10.345897435897436,-0.08666666666666684,-0.6138461538461535,0.02487179487179494,-0.7689743589743601,-0.02692307692307696
0.598,-10.35,-0.1,-0.58,0.03,-0.85,-0.03
0.608,-10.353797468354431,-0.12151898734177216,-0.6091139240506329,0.027468354430379746,-0.9449367088607595,-0.031265822784810125
0.618,-10.35759493670886,-0.14303797468354432,-0.6382278481012658,0.024936708860759493,-1.039873417721519,-0.03253164556962025
0.628,-10.361392405063292,-0.16455696202531644,-0.6673417721518987,0.02240506329113924,-1.1348101265822785,-0.03379746835443038
0.638,-10.365189873417721,-0.1860759493670886,-0.6964556962025317,0.019873417721518988,-1.229746835443038,-0.035063291139240504
0.648,-10.368987341772153,-0.20759493670886076,-0.7255696202531645,0.017341772151898735,-1.3246835443037974,-0.03632911392405063
0.6579999999999999,-10.372784810126582,-0.2291139240506327,-0.7546835443037971,0.01481012658227851,-1.419620253164556,-0.03759493670886074
0.6679999999999999,-10.376582278481013,-0.25063291139240484,-0.7837974683544301,0.012278481012658257,-1.5145569620253156,-0.03886075949367088
0.677,-10.38,-0.27,-0.81,0.01,-1.6,-0.04
0.687,-10.23844155844156,-0.2232467532467532,-0.5061038961038957,0.0074025974025973985,-1.7233766233766237,-0.043896103896103905
0.6970000000000001,-10.096883116883117,-0.17649350649350637,-0.2022077922077914,0.004805194805194798,-1.846753246753247,-0.0477922077922078
0.7070000000000001,-9.955324675324675,-0.12974025974025957,0.10168831168831283,0.0022077922077921967,-1.9701298701298706,-0.05168831168831171
0.7170000000000001,-9.813766233766232,-0.08298701298701275,0.40558441558441727,-0.000389610389610405,-2.093506493506494,-0.05558441558441561
0.7270000000000001,-9.672207792207791,-0.036233766233765924,0.7094805194805214,-0.002987012987013005,-2.2168831168831176,-0.05948051948051951
0.7370000000000001,-9.530649350649348,0.010519480519480873,1.0133766233766257,-0.005584415584415607,-2.340259740259741,-0.06337662337662342
0.7470000000000001,-9.389090909090907,0.0572727272727277,1.31727272727273,-0.008181818181818208,-2.4636363636363647,-0.06727272727272732
0.754,-9.29,0.09,1.53,-0.01,-2.55,-0.07
0.764,-9.121868131868132,0.03395604395604388,1.8387912087912093,-0.005604395604395599,-2.603846153846154,-0.06890109890109891
0.774,-8.953736263736262,-0.022087912087912234,2.1475824175824183,-0.0012087912087911986,-2.6576923076923076,-0.0678021978021978
0.784,-8.785604395604395,-0.07813186813186834,2.4563736263736273,0.003186813186813204,-2.7115384615384617,-0.06670329670329671
0.794,-8.617472527472525,-0.13417582417582447,2.7651648351648364,0.007582417582417603,-2.7653846153846153,-0.0656043956043956
0.804,-8.449340659340658,-0.19021978021978056,3.073956043956046,0.011978021978022004,-2.8192307692307694,-0.0645054945054945
0.8140000000000001,-8.28120879120879,-0.24626373626373668,3.382747252747255,0.01637362637362641,-2.8730769230769235,-0.0634065934065934
0.8240000000000001,-8.113076923076921,-0.30230769230769283,3.691538461538464,0.02076923076923081,-2.926923076923077,-0.0623076923076923
0.834,-7.944945054945055,-0.35835164835164834,4.00032967032967,0.025164835164835156,-2.980769230769231,-0.061208791208791205
0.845,-7.76,-0.42,4.34,0.03,-3.04,-0.06
0.857,-7.76,-0.42,4.34,0.03,-3.04,-0.06
0.868,-7.41,-0.54,5.01,0.03,-3.1,-0.06
0.879,-7.01,-0.39,5.49,0.01,-3.14,-0.05
