time,ax,ay,az,gx,gy,gz
0.002,9.58,-0.18,-0.89,-0.0,-0.02,-0.0
0.013,9.57,-0.19,-0.96,-0.0,-0.01,-0.0
0.025,9.58,-0.18,-0.91,0.0,0.01,-0.0
0.035,9.585882352941177,-0.1780392156862745,-0.8962745098039215,0.0,0.01,0.0
0.045,9.591764705882353,-0.17607843137254903,-0.8825490196078432,0.0,0.01,0.0
0.055,9.59764705882353,-0.17411764705882354,-0.8688235294117647,0.0,0.01,0.0
0.065,9.603529411764706,-0.17215686274509806,-0.8550980392156863,0.0,0.01,0.0
0.076,9.61,-0.17,-0.84,0.0,0.01,-0.0
0.086,9.602207792207793,-0.16480519480519482,-0.8594805194805194,-0.0025974025974025965,0.006103896103896106,0.0
0.096,9.594415584415584,-0.15961038961038962,-0.8789610389610389,-0.0051948051948051965,0.002207792207792207,0.0
0.106,9.586623376623377,-0.15441558441558442,-0.8984415584415584,-0.007792207792207793,-0.0016883116883116868,0.0
0.11599999999999999,9.578831168831169,-0.14922077922077923,-0.9179220779220779,-0.01038961038961039,-0.005584415584415581,0.0
0.126,9.571038961038962,-0.14402597402597403,-0.9374025974025973,-0.01298701298701299,-0.00948051948051948,0.0
0.136,9.563246753246753,-0.13883116883116883,-0.9568831168831169,-0.01558441558441559,-0.013376623376623377,0.0
0.14600000000000002,9.555454545454547,-0.13363636363636364,-0.9763636363636363,-0.018181818181818188,-0.01727272727272728,0.0
0.153,9.55,-0.13,-0.99,-0.02,-0.02,-0.0
0.163,9.553846153846154,-0.10692307692307691,-0.9617948717948718,-0.018717948717948716,-0.01615384615384615,0.0
0.173,9.557692307692308,-0.08384615384615389,-0.9335897435897437,-0.01743589743589744,-0.012307692307692315,0.0
0.183,9.561538461538461,-0.0607692307692308,-0.9053846153846155,-0.016153846153846154,-0.008461538461538465,0.0
0.193,9.565384615384616,-0.037692307692307706,-0.8771794871794871,-0.014871794871794871,-0.004615384615384617,0.0
0.203,9.569230769230769,-0.014615384615384613,-0.848974358974359,-0.013589743589743589,-0.0007692307692307686,0.0
0.213,9.573076923076924,0.00846153846153841,-0.8207692307692308,-0.01230769230769231,0.003076923076923071,0.0
0.223,9.576923076923077,0.031538461538461515,-0.7925641025641026,-0.011025641025641027,0.006923076923076917,0.0
0.231,9.58,0.05,-0.77,-0.01,0.01,-0.0
