time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized
21.44,-0.25,-1.25,8.79,-0.02,0.23,0.15,8.881953613929763,15.774559307026303,-0.01176236137229918,-0.058811806861495904,0.41356462585003917,-0.00011783057452736714,0.0013550516070647222,0.0008837293089552535
21.45,-0.25,-1.25,8.79,-0.02,0.23,0.15,8.881953613929763,15.774559307026303,-0.01176236137229918,-0.058811806861495904,0.41356462585003917,-0.00011783057452736714,0.0013550516070647222,0.0008837293089552535
21.46,-0.2800000000000053,-0.2749999999998268,9.315000000000094,-0.0300000000000017,0.1999999999999946,0.1399999999999982,9.323263913458723,14.092898359659808,-0.013173844736975332,-0.012938597509520951,0.4382655847318719,-0.00017674586179106073,0.0011783057452736396,0.0008248140216915595
21.47,-0.31,0.7,9.84,-0.04,0.17,0.13,9.86973657196584,12.47417416066317,-0.014585328101650984,0.032934611842437705,0.4629665436136957,-0.00023566114905473429,0.0010015598834826208,0.0007658987344278864
21.48,-0.66,2.22,9.59,-0.06,-0.02,0.13,9.865703218726985,8.283154756205239,-0.031052634022869837,0.10444976898601674,0.4512041822413966,-0.0003534917235821014,-0.00011783057452736714,0.0007658987344278864
21.49,-0.66,2.22,9.59,-0.06,-0.02,0.13,9.865703218726985,8.283154756205239,-0.031052634022869837,0.10444976898601674,0.4512041822413966,-0.0003534917235821014,-0.00011783057452736714,0.0007658987344278864
21.5,0.39,3.12,9.75,-0.08,-0.12,0.13,10.244461918519683,11.12482806138786,0.01834928374078672,0.14679426992629377,0.45873209351966804,-0.00047132229810946857,-0.0007069834471642028,0.0007658987344278864
21.51,0.39,3.12,9.75,-0.08,-0.12,0.13,10.244461918519683,11.12482806138786,0.01834928374078672,0.14679426992629377,0.45873209351966804,-0.00047132229810946857,-0.0007069834471642028,0.0007658987344278864
21.52,-0.24,2.97,9.7,-0.04,0.03,0.15,10.147339552808903,9.059258178807665,-0.011291866917407212,0.13973685310291428,0.4563796212452082,-0.00023566114905473429,0.0001767458617910507,0.0008837293089552535
21.53,-0.24,2.97,9.7,-0.04,0.03,0.15,10.147339552808903,9.059258178807665,-0.011291866917407212,0.13973685310291428,0.4563796212452082,-0.00023566114905473429,0.0001767458617910507,0.0008837293089552535
21.540000000000003,-0.5150000000000489,2.379999999999895,10.225000000000094,-0.0199999999999964,0.0750000000000079,0.1550000000000009,10.510958567133706,9.932186608086722,-0.02423046442693861,0.11197768026428326,0.4810805801270409,-0.00011783057452734593,0.0004418646544776733,0.0009131869525871006
21.55,-0.79,1.79,10.75,0.0,0.12,0.16,10.926605145240675,11.459155902616464,-0.037169061936465415,0.08421850742566213,0.5057815390088648,0.0,0.0007069834471642028,0.0009426445962189371
21.56,-0.79,1.79,10.75,0.0,0.12,0.16,10.926605145240675,11.459155902616464,-0.037169061936465415,0.08421850742566213,0.5057815390088648,0.0,0.0007069834471642028,0.0009426445962189371
21.57,-0.32,0.09,10.1,0.03,0.06,0.13,10.10546881643796,8.381649950352934,-0.015055822556542952,0.004234450094027705,0.4751993994408869,0.0001767458617910507,0.0003534917235821014,0.0007658987344278864
21.58,0.46,-0.89,10.3,0.06,0.13,0.13,10.348608602126182,11.080476410806497,0.02164274492503049,-0.041874006485385085,0.48460928853872626,0.0003534917235821014,0.0007658987344278864,0.0007658987344278864
21.59,0.46,-0.89,10.3,0.06,0.13,0.13,10.348608602126182,11.080476410806497,0.02164274492503049,-0.041874006485385085,0.48460928853872626,0.0003534917235821014,0.0007658987344278864,0.0007658987344278864
21.6,-0.79,-2.2,10.28,0.06,0.19,0.11,10.542414334487143,13.040297885041136,-0.037169061936465415,-0.10350878007623279,0.48366829962894226,0.0003534917235821014,0.0011193904580099878,0.0006480681599005193
21.610000000000003,-0.79,-2.2,10.28,0.06,0.19,0.11,10.542414334487143,13.040297885041136,-0.037169061936465415,-0.10350878007623279,0.48366829962894226,0.0003534917235821014,0.0011193904580099878,0.0006480681599005193
21.62,-0.79,-2.2,10.28,0.06,0.19,0.11,10.542414334487143,13.040297885041136,-0.037169061936465415,-0.10350878007623279,0.48366829962894226,0.0003534917235821014,0.0011193904580099878,0.0006480681599005193
21.63,-0.91,0.29,8.97,0.05,0.11,0.08,9.020703963660486,8.302947268906784,-0.04281499539516902,0.013644339191867048,0.42203352603809463,0.00029457643631841787,0.0006480681599005193,0.00047132229810946857
21.64,0.05,1.91,10.79,0.03,-0.03,0.05,10.957860192574095,3.7571355185899935,0.0023524722744598364,0.08986444088436574,0.5076635168284326,0.0001767458617910507,-0.0001767458617910507,0.00029457643631841787
21.65,0.05,1.91,10.79,0.03,-0.03,0.05,10.957860192574095,3.7571355185899935,0.0023524722744598364,0.08986444088436574,0.5076635168284326,0.0001767458617910507,-0.0001767458617910507,0.00029457643631841787
21.66,-0.8,2.81,9.7,0.04,-0.0,0.07,10.130454086564924,4.619333423241533,-0.03763955639135738,0.1322089418246428,0.4563796212452082,0.00023566114905473429,-0.0,0.00041240701084578504
21.67,-0.8,2.81,9.7,0.04,-0.0,0.07,10.130454086564924,4.619333423241533,-0.03763955639135738,0.1322089418246428,0.4563796212452082,0.00023566114905473429,-0.0,0.00041240701084578504
