time,ax,ay,az,gx,gy,gz
0.001,-10.0,0.19,-0.75,-0.0,0.0,-0.0
0.013,-10.01,0.18,-0.77,-0.0,0.0,-0.0
0.024,-10.01,0.18,-0.77,-0.0,0.0,-0.0
0.034,-10.011639344262294,0.18163934426229508,-0.768360655737705,0.0,0.0,0.0
0.044,-10.01327868852459,0.18327868852459017,-0.7667213114754099,0.0,0.0,0.0
0.054,-10.014918032786884,0.18491803278688523,-0.7650819672131147,0.0,0.0,0.0
0.064,-10.01655737704918,0.18655737704918032,-0.7634426229508197,0.0,0.0,0.0
0.07400000000000001,-10.018196721311474,0.1881967213114754,-0.7618032786885246,0.0,0.0,0.0
0.085,-10.02,0.19,-0.76,-0.0,0.0,-0.0
0.097,-10.01,0.17,-0.76,-0.0,0.0,-0.0
0.109,-10.01,0.17,-0.76,-0.0,0.0,-0.0
0.121,-10.0,0.19,-0.76,-0.0,0.0,-0.0
0.134,-10.0,0.19,-0.73,-0.0,0.0,-0.0
0.146,-10.0,0.19,-0.73,-0.0,0.0,-0.0
0.157,-9.99,0.19,-0.75,0.0,0.0,-0.0
0.169,-9.99,0.19,-0.75,0.0,0.0,-0.0
0.18,-10.02,0.17,-0.77,-0.0,0.0,-0.0
0.192,-10.02,0.17,-0.77,-0.0,0.0,-0.0
0.204,-10.0,0.17,-0.78,-0.0,0.0,-0.0
0.216,-10.01,0.17,-0.77,0.0,0.0,-0.0
0.228,-10.01,0.17,-0.77,0.0,0.0,-0.0
0.232,-10.01,0.17,-0.77,0.0,0.0,-0.0
0.24200000000000002,-10.01,0.17126582278481015,-0.77,0.0,0.0,0.0
0.252,-10.01,0.17253164556962025,-0.77,0.0,0.0,0.0
0.262,-10.01,0.17379746835443038,-0.77,0.0,0.0,0.0
0.272,-10.01,0.17506329113924052,-0.77,0.0,0.0,0.0
0.28200000000000003,-10.01,0.17632911392405062,-0.77,0.0,0.0,0.0
0.29200000000000004,-10.01,0.17759493670886076,-0.77,0.0,0.0,0.0
0.30200000000000005,-10.01,0.1788607594936709,-0.77,0.0,0.0,0.0
0.311,-10.01,0.18,-0.77,-0.0,0.0,-0.0
0.321,-10.01,0.18128205128205127,-0.7623076923076924,0.0,0.0,0.0
0.331,-10.01,0.18256410256410255,-0.7546153846153846,0.0,0.0,0.0
0.34099999999999997,-10.01,0.18384615384615383,-0.7469230769230769,0.0,0.0,0.0
0.351,-10.01,0.18512820512820513,-0.7392307692307692,0.0,0.0,0.0
0.361,-10.01,0.1864102564102564,-0.7315384615384616,0.0,0.0,0.0
0.371,-10.01,0.18769230769230769,-0.7238461538461538,0.0,0.0,0.0
0.381,-10.01,0.18897435897435896,-0.7161538461538461,0.0,0.0,0.0
0.389,-10.01,0.19,-0.71,0.0,0.0,-0.0
0.399,-10.011265822784809,0.19,-0.71,0.0,0.0,0.0
0.40900000000000003,-10.01253164556962,0.19,-0.71,0.0,0.0,0.0
0.41900000000000004,-10.01379746835443,0.19,-0.71,0.0,0.0,0.0
0.429,-10.01506329113924,0.19,-0.71,0.0,0.0,0.0
0.439,-10.01632911392405,0.19,-0.71,0.0,0.0,0.0
0.449,-10.01759493670886,0.19,-0.71,0.0,0.0,0.0
0.459,-10.01886075949367,0.19,-0.71,0.0,0.0,0.0
0.468,-10.02,0.19,-0.71,-0.0,-0.0,-0.0
0.47800000000000004,-10.017777777777777,0.1877777777777778,-0.7133333333333333,0.0,0.0,0.0
0.48800000000000004,-10.015555555555554,0.18555555555555556,-0.7166666666666667,0.0,0.0,0.0
0.498,-10.013333333333334,0.18333333333333335,-0.72,0.0,0.0,0.0
0.508,-10.011111111111111,0.1811111111111111,-0.7233333333333333,0.0,0.0,0.0
0.518,-10.008888888888889,0.1788888888888889,-0.7266666666666667,0.0,0.0,0.0
0.528,-10.006666666666666,0.1766666666666667,-0.73,0.0,0.0,0.0
0.538,-10.004444444444445,0.17444444444444446,-0.7333333333333333,0.0,0.0,0.0
0.548,-10.002222222222223,0.17222222222222222,-0.7366666666666667,0.0,0.0,0.0
0.558,-10.0,0.17,-0.74,0.0,0.0,-0.0
0.57,-10.0,0.17,-0.74,0.0,0.0,-0.0
0.581,-10.01,0.19,-0.73,-0.0,0.0,-0.0
0.592,-10.01,0.19,-0.73,-0.0,0.0,-0.0
0.605,-10.01,0.2,-0.75,0.0,0.0,-0.0
0.617,-10.01,0.18,-0.78,0.0,0.0,-0.0
0.628,-10.01,0.18,-0.78,0.0,0.0,-0.0
0.64,-10.01,0.17,-0.8,-0.0,0.0,-0.0
0.653,-10.0,0.19,-0.77,-0.0,0.0,-0.0
0.665,-10.0,0.19,-0.77,-0.0,0.0,-0.0
0.677,-10.01,0.18,-0.76,0.0,0.0,-0.0
0.689,-10.01,0.18,-0.76,0.0,0.0,-0.0
0.702,-10.02,0.19,-0.76,0.0,0.0,-0.0
0.714,-10.01,0.18,-0.73,-0.01,-0.0,-0.0
0.726,-10.01,0.18,-0.73,-0.01,-0.0,-0.0
0.738,-10.0,0.19,-0.72,-0.0,0.0,-0.0
0.751,-10.0,0.19,-0.72,-0.0,0.0,-0.0
0.763,-9.99,0.19,-0.79,0.0,0.0,-0.0
0.774,-10.02,0.18,-0.76,-0.0,0.0,-0.0
0.786,-10.02,0.18,-0.76,-0.0,0.0,-0.0
0.799,-10.01,0.18,-0.76,-0.0,-0.0,-0.0
0.811,-10.01,0.18,-0.76,-0.0,-0.0,-0.0
0.823,-10.0,0.2,-0.74,0.0,0.0,-0.0
0.834,-10.02,0.17,-0.78,0.0,0.0,-0.0
0.847,-10.02,0.17,-0.78,0.0,0.0,-0.0
0.859,-10.01,0.18,-0.75,-0.0,0.0,-0.0
0.87,-10.01,0.18,-0.75,-0.0,0.0,-0.0
0.882,-10.01,0.19,-0.72,-0.0,-0.0,-0.0
0.895,-10.03,0.19,-0.78,-0.0,0.0,-0.0
0.907,-10.03,0.19,-0.78,-0.0,0.0,-0.0
0.918,-10.01,0.17,-0.78,-0.0,0.0,-0.0
0.929,-10.01,0.17,-0.78,-0.0,0.0,-0.0
0.941,-10.02,0.2,-0.74,-0.0,-0.0,-0.0
0.955,-10.01,0.18,-0.76,-0.0,0.0,-0.0
0.967,-10.01,0.18,-0.76,-0.0,0.0,-0.0
0.979,-10.02,0.19,-0.76,0.0,0.0,-0.0
0.99,-10.02,0.19,-0.76,0.0,0.0,-0.0
1.003,-10.03,0.18,-0.8,-0.0,-0.0,-0.0
1.014,-10.02,0.19,-0.78,-0.01,-0.01,-0.0
1.026,-10.02,0.19,-0.78,-0.01,-0.01,-0.0
1.038,-10.08,0.23,-0.91,-0.01,-0.02,-0.01
1.051,-10.08,0.23,-0.91,-0.01,-0.02,-0.01
1.064,-10.15,0.25,-1.15,-0.0,-0.06,-0.01
1.076,-10.16,0.22,-1.16,0.0,-0.13,-0.02
1.087,-10.16,0.22,-1.16,0.0,-0.13,-0.02
1.099,-10.24,0.28,-1.33,-0.0,-0.22,-0.04
1.111,-10.24,0.28,-1.33,-0.0,-0.22,-0.04
1.123,-10.31,0.3,-1.49,0.0,-0.36,-0.06
1.135,-9.92,-0.25,0.65,0.0,-0.51,-0.07
1.148,-9.92,-0.25,0.65,0.0,-0.51,-0.07
1.16,-10.07,0.15,-0.45,0.01,-0.54,-0.02
1.172,-10.07,0.15,-0.45,0.01,-0.54,-0.02
1.183,-10.23,0.07,-0.76,-0.01,-0.56,-0.01
1.196,-10.34,0.03,-1.07,-0.0,-0.67,-0.01
1.207,-10.34,0.03,-1.07,-0.0,-0.67,-0.01
1.219,-10.34,0.33,-0.52,0.0,-0.83,-0.02
1.231,-10.34,0.33,-0.52,0.0,-0.83,-0.02
1.244,-10.4,-0.22,-0.88,-0.02,-1.03,-0.02
1.256,-10.5,-0.16,-0.67,-0.06,-1.2,0.01
1.268,-10.5,-0.16,-0.67,-0.06,-1.2,0.01
1.279,-10.48,-0.18,-0.12,-0.1,-1.35,0.11
1.292,-10.48,-0.18,-0.12,-0.1,-1.35,0.11
1.303,-10.31,-0.69,0.69,-0.16,-1.47,0.27
