time,ax,ay,az,gx,gy,gz
0.001,9.59,-0.2,-0.85,-0.0,0.0,-0.0
0.013,9.59,-0.18,-0.89,-0.0,0.0,-0.0
0.025,9.59,-0.18,-0.89,-0.0,0.0,-0.0
0.035,9.588412698412698,-0.18158730158730158,-0.8884126984126984,0.0,0.0,0.0
0.045,9.586825396825397,-0.18317460317460316,-0.8868253968253968,0.0,0.0,0.0
0.055,9.585238095238095,-0.18476190476190477,-0.8852380952380953,0.0,0.0,0.0
0.065,9.583650793650794,-0.18634920634920635,-0.8836507936507937,0.0,0.0,0.0
0.07500000000000001,9.582063492063492,-0.18793650793650793,-0.8820634920634921,0.0,0.0,0.0
0.088,9.58,-0.19,-0.88,-0.0,-0.0,-0.0
0.1,9.6,-0.18,-0.84,-0.0,0.0,-0.0
0.111,9.6,-0.19,-0.84,-0.0,0.0,-0.0
0.123,9.6,-0.19,-0.84,-0.0,0.0,-0.0
0.135,9.59,-0.16,-0.83,-0.0,0.0,-0.0
0.148,9.59,-0.16,-0.83,-0.0,0.0,-0.0
0.16,9.58,-0.19,-0.82,-0.0,0.0,-0.0
0.171,9.6,-0.18,-0.85,-0.0,0.0,-0.0
0.183,9.6,-0.18,-0.85,-0.0,0.0,-0.0
0.197,9.6,-0.2,-0.83,-0.0,0.0,-0.0
0.209,9.6,-0.2,-0.83,-0.0,0.0,-0.0
0.221,9.59,-0.19,-0.87,-0.0,0.0,-0.0
0.233,9.57,-0.19,-0.85,-0.0,0.0,-0.0
0.247,9.57,-0.19,-0.85,-0.0,0.0,-0.0
0.259,9.6,-0.18,-0.85,-0.0,0.0,-0.0
0.27,9.6,-0.17,-0.86,-0.0,0.0,-0.0
0.281,9.6,-0.17,-0.86,-0.0,0.0,-0.0
0.295,9.59,-0.19,-0.81,-0.0,0.0,-0.0
0.306,9.59,-0.19,-0.81,-0.0,0.0,-0.0
0.318,9.59,-0.16,-0.87,-0.0,0.0,-0.0
0.329,9.59,-0.16,-0.87,-0.0,0.0,-0.0
0.341,9.59,-0.19,-0.84,-0.0,0.0,-0.0
0.354,9.6,-0.18,-0.84,-0.0,0.0,-0.0
0.366,9.6,-0.18,-0.84,-0.0,0.0,-0.0
0.377,9.59,-0.19,-0.83,-0.0,0.0,-0.0
0.389,9.59,-0.19,-0.83,-0.0,0.0,-0.0
0.402,9.59,-0.19,-0.85,-0.0,0.0,-0.01
0.413,9.59,-0.19,-0.84,-0.0,0.0,-0.0
0.424,9.59,-0.19,-0.84,-0.0,0.0,-0.0
0.436,9.58,-0.17,-0.84,0.0,0.0,-0.0
0.449,9.58,-0.17,-0.84,0.0,0.0,-0.0
0.461,9.58,-0.19,-0.82,-0.0,0.0,-0.0
0.472,9.59,-0.18,-0.83,-0.0,0.0,-0.0
0.484,9.59,-0.18,-0.83,-0.0,0.0,-0.0
0.496,9.58,-0.2,-0.82,-0.0,0.0,-0.0
0.509,9.58,-0.2,-0.82,-0.0,0.0,-0.0
0.52,9.6,-0.16,-0.91,-0.0,-0.0,-0.0
0.531,9.57,-0.21,-0.77,-0.0,0.0,-0.0
0.543,9.57,-0.21,-0.77,-0.0,0.0,-0.0
0.556,9.59,-0.19,-0.85,-0.0,0.0,-0.01
0.567,9.59,-0.19,-0.85,-0.0,0.0,-0.01
