time,ax,ay,az,gx,gy,gz
0.001,-8.92,0.43,2.79,0.04,-0.05,-0.03
0.013,-8.92,0.43,2.79,0.04,-0.05,-0.03
0.025,-8.82,0.82,3.14,0.03,0.41,-0.01
0.035,-9.228474576271188,0.8149152542372881,2.1162711864406782,0.01983050847457627,0.4489830508474576,0.012033898305084749
0.045,-9.636949152542373,0.8098305084745763,1.0925423728813564,0.009661016949152546,0.4879661016949152,0.03406779661016948
0.055,-10.04542372881356,0.8047457627118644,0.06881355932203448,-0.0005084745762711854,0.5269491525423728,0.056101694915254234
0.065,-10.453898305084746,0.7996610169491526,-0.9549152542372874,-0.010677966101694913,0.5659322033898305,0.07813559322033899
0.07500000000000001,-10.862372881355933,0.7945762711864407,-1.9786440677966106,-0.020847457627118655,0.6049152542372882,0.10016949152542375
0.084,-11.23,0.79,-2.9,-0.03,0.64,0.12
0.096,-11.23,0.79,-2.9,-0.03,0.64,0.12
0.107,-11.11,1.45,-3.19,-0.11,0.04,0.02
0.119,-8.85,-0.8,-1.95,-0.06,-0.48,-0.12
0.13,-8.85,-0.8,-1.95,-0.06,-0.48,-0.12
0.143,-9.59,0.97,0.81,0.02,-0.32,-0.04
0.155,-9.59,0.97,0.81,0.02,-0.32,-0.04
0.166,-9.62,0.1,0.44,-0.04,-0.2,0.01
0.178,-9.62,0.1,0.44,-0.04,-0.2,0.01
0.191,-9.72,0.01,0.09,-0.02,-0.0,0.01
0.202,-9.31,0.38,1.5,0.06,0.2,-0.02
0.213,-9.31,0.38,1.5,0.06,0.2,-0.02
0.225,-10.56,0.46,-1.7,0.04,0.26,0.02
0.238,-10.56,0.46,-1.7,0.04,0.26,0.02
0.25,-10.48,0.63,-1.99,-0.0,0.05,0.01
0.262,-9.75,-0.06,0.29,0.02,-0.1,-0.02
0.273,-9.75,-0.06,0.29,0.02,-0.1,-0.02
0.287,-10.11,0.68,-0.52,0.02,-0.03,-0.01
0.299,-10.5,0.21,-1.41,-0.01,-0.09,0.0
0.309,-10.5,0.21,-1.41,-0.01,-0.09,0.0
0.321,-10.61,0.4,-1.49,-0.0,-0.28,-0.01
0.334,-10.61,0.4,-1.49,-0.0,-0.28,-0.01
0.346,-10.5,0.35,-1.14,0.01,-0.54,-0.02
0.358,-10.5,0.35,-1.14,0.01,-0.54,-0.02
0.369,-10.49,0.51,-1.11,-0.01,-0.78,-0.01
0.382,-10.53,0.2,-1.21,-0.02,-1.03,-0.01
0.394,-10.53,0.2,-1.21,-0.02,-1.03,-0.01
0.405,-10.43,0.3,-0.92,0.0,-1.3,-0.02
0.416,-10.43,0.3,-0.92,0.0,-1.3,-0.02
0.428,-10.27,0.44,-0.43,0.01,-1.56,-0.03
0.442,-10.23,0.39,-0.32,-0.01,-1.82,-0.02
0.454,-10.23,0.39,-0.32,-0.01,-1.82,-0.02
0.466,-10.35,0.24,-0.02,-0.01,-2.1,-0.03
0.477,-10.35,0.24,-0.02,-0.01,-2.1,-0.03
0.49,-11.63,0.36,1.93,-0.03,-2.36,-0.08
0.502,-9.4,-0.05,1.75,0.04,-2.55,-0.06
0.514,-9.4,-0.05,1.75,0.04,-2.55,-0.06
0.525,-8.84,-0.0,2.26,0.03,-2.69,-0.04
0.538,-8.84,-0.0,2.26,0.03,-2.69,-0.04
0.55,-9.45,0.15,1.94,-0.01,-2.83,-0.01
0.561,-9.12,0.18,2.11,0.01,-3.07,-0.03
0.572,-9.12,0.18,2.11,0.01,-3.07,-0.03
0.586,-8.21,-0.1,3.1,0.05,-3.34,-0.05
0.598,-8.21,-0.1,3.1,0.05,-3.34,-0.05
0.609,-7.7,-0.23,3.49,0.04,-3.56,-0.02
0.621,-8.44,0.13,4.51,0.02,-3.78,-0.01
0.625,-8.44,0.13,4.51,0.02,-3.78,-0.01
0.635,-7.8053846153846145,0.05692307692307681,4.816410256410257,0.014871794871794864,-3.8864102564102563,-0.015128205128205136
0.645,-7.170769230769229,-0.01615384615384638,5.122820512820514,0.009743589743589728,-3.992820512820513,-0.02025641025641027
0.655,-6.536153846153843,-0.08923076923076959,5.42923076923077,0.004615384615384594,-4.09923076923077,-0.025384615384615408
0.665,-5.901538461538458,-0.16230769230769276,5.735641025641027,-0.0005128205128205436,-4.205641025641026,-0.030512820512820546
0.675,-5.266923076923073,-0.23538461538461597,6.042051282051284,-0.005641025641025678,-4.312051282051283,-0.03564102564102568
0.685,-4.632307692307687,-0.3084615384615392,6.3484615384615415,-0.010769230769230812,-4.418461538461539,-0.040769230769230815
0.6950000000000001,-3.9976923076923017,-0.3815384615384624,6.654871794871799,-0.01589743589743595,-4.524871794871796,-0.04589743589743595
0.703,-3.49,-0.44,6.9,-0.02,-4.61,-0.05
