time,ax,ay,az,gx,gy,gz
0.223,-10.0,-0.06,-0.48,-0.0,-0.0,-0.0
0.235,-10.0,-0.07,-0.49,-0.0,0.0,-0.0
0.247,-10.0,-0.07,-0.49,-0.0,0.0,-0.0
0.259,-9.99,-0.06,-0.49,0.0,0.0,-0.0
0.2709999999999999,-9.99,-0.06,-0.49,0.0,0.0,-0.0
0.283,-10.0,-0.06,-0.5,0.0,0.0,-0.0
0.294,-10.0,-0.07,-0.51,-0.0,0.0,-0.0
0.306,-10.0,-0.07,-0.51,-0.0,0.0,-0.0
0.319,-9.99,-0.08,-0.5,-0.0,-0.0,-0.0
0.331,-9.99,-0.08,-0.5,-0.0,-0.0,-0.0
0.342,-10.0,-0.07,-0.5,-0.0,-0.0,-0.0
0.3529999999999,-10.0,-0.07,-0.5,-0.0,-0.0,-0.0
0.366,-9.99,-0.06,-0.47,-0.0,-0.0,-0.0
0.377,-9.99,-0.06,-0.48,-0.0,0.0,-0.0
0.388,-9.99,-0.06,-0.48,-0.0,0.0,-0.0
0.4,-10.0,-0.07,-0.49,-0.0,0.0,-0.0
0.4129999999999,-10.0,-0.07,-0.49,-0.0,0.0,-0.0
0.424,-10.01,-0.07,-0.49,-0.0,0.0,-0.0
0.4359999999999,-9.99,-0.08,-0.51,-0.0,0.0,-0.0
0.448,-9.99,-0.08,-0.51,-0.0,0.0,-0.0
0.4609999999999999,-9.99,-0.06,-0.5,-0.0,0.0,-0.0
0.4729999999999,-9.99,-0.06,-0.5,-0.0,0.0,-0.0
0.4849999999999,-9.98,-0.07,-0.49,-0.0,-0.0,-0.0
0.497,-10.0,-0.07,-0.5,-0.0,0.0,-0.0
0.51,-10.0,-0.07,-0.5,-0.0,0.0,-0.0
0.521,-9.99,-0.07,-0.48,0.0,0.0,0.0
0.533,-9.99,-0.07,-0.48,0.0,0.0,0.0
0.545,-10.0,-0.06,-0.51,0.0,0.0,-0.0
0.558,-10.01,-0.06,-0.48,0.0,0.0,-0.0
0.569,-10.01,-0.06,-0.48,0.0,0.0,-0.0
0.5809999999998999,-10.0,-0.07,-0.48,-0.0,0.0,-0.0
0.593,-10.0,-0.07,-0.48,-0.0,0.0,-0.0
0.606,-9.99,-0.06,-0.48,-0.0,0.0,-0.0
0.617,-9.99,-0.07,-0.48,-0.0,0.0,-0.0
0.629,-9.99,-0.07,-0.48,-0.0,0.0,-0.0
0.64,-10.0,-0.06,-0.49,-0.0,0.0,-0.0
0.653,-10.0,-0.06,-0.49,-0.0,0.0,-0.0
0.665,-10.0,-0.06,-0.49,-0.0,0.0,-0.0
0.6769999999999999,-10.0,-0.07,-0.48,-0.0,0.0,-0.0
0.6890000000000001,-10.0,-0.07,-0.48,-0.0,0.0,-0.0
0.7010000000000001,-10.0,-0.06,-0.49,0.0,0.0,-0.0
0.713,-10.0,-0.06,-0.49,0.0,0.0,-0.0
0.725,-9.99,-0.06,-0.5,-0.0,0.0,-0.0
0.736,-10.0,-0.05,-0.48,0.0,0.0,-0.0
0.749,-10.0,-0.05,-0.48,0.0,0.0,-0.0
0.761,-10.0,-0.06,-0.5,0.0,0.0,-0.0
0.772,-10.0,-0.06,-0.5,0.0,0.0,-0.0
0.784,-10.0,-0.06,-0.52,-0.0,0.0,-0.0
0.7969999999999999,-10.0,-0.05,-0.5,-0.0,0.0,-0.0
0.809,-10.0,-0.05,-0.5,-0.0,0.0,-0.0
0.82,-9.99,-0.07,-0.49,0.0,0.0,-0.0
0.832,-9.99,-0.07,-0.49,0.0,0.0,-0.0
0.8449999999998999,-10.0,-0.07,-0.48,-0.0,0.0,-0.0
0.856,-10.0,-0.08,-0.47,-0.0,-0.0,-0.0
0.868,-10.0,-0.08,-0.47,-0.0,-0.0,-0.0
0.88,-10.01,-0.04,-0.48,0.0,0.0,-0.0
0.893,-10.01,-0.04,-0.48,0.0,0.0,-0.0
0.904,-10.0,-0.07,-0.5,-0.0,0.0,-0.0
0.916,-9.99,-0.07,-0.48,-0.0,0.0,0.0
0.928,-9.99,-0.07,-0.48,-0.0,0.0,0.0
0.931,-9.99,-0.07,-0.48,-0.0,0.0,0.0
0.9410000000000001,-9.99128205128205,-0.06871794871794872,-0.4787179487179487,0.0,0.0,0.0
0.9510000000000001,-9.992564102564103,-0.06743589743589744,-0.4774358974358974,0.0,0.0,0.0
0.9610000000000001,-9.993846153846153,-0.06615384615384615,-0.4761538461538461,0.0,0.0,0.0
0.9710000000000001,-9.995128205128205,-0.06487179487179486,-0.4748717948717948,0.0,0.0,0.0
0.9810000000000001,-9.996410256410256,-0.06358974358974358,-0.47358974358974354,0.0,0.0,0.0
0.9910000000000001,-9.997692307692308,-0.062307692307692286,-0.47230769230769226,0.0,0.0,0.0
1.0010000000000001,-9.998974358974358,-0.061025641025640995,-0.471025641025641,0.0,0.0,0.0
1.009,-10.0,-0.06,-0.47,-0.0,0.0,-0.0
