time,ax,ay,az,gx,gy,gz
0.03,-1.11,0.28,-9.9,0.0,0.0,0.0
0.04,-1.17,0.3,-9.98,0.0,-0.02,-0.0
0.05,-1.17,0.3,-9.98,0.0,-0.02,-0.0
0.06,-1.2,0.3,-10.0,0.0,-0.03,-0.0
0.06999999999999999,-1.1885714285714286,0.3,-9.971428571428572,0.0014285714285714277,-0.03571428571428571,0.0
0.08,-1.177142857142857,0.3,-9.942857142857143,0.0028571428571428576,-0.04142857142857143,0.0
0.09,-1.1657142857142857,0.3,-9.914285714285715,0.004285714285714285,-0.04714285714285714,0.0
0.1,-1.1542857142857144,0.3,-9.885714285714286,0.005714285714285715,-0.052857142857142866,0.0
0.11,-1.142857142857143,0.3,-9.857142857142858,0.007142857142857143,-0.05857142857142858,0.0
0.12,-1.1314285714285715,0.3,-9.82857142857143,0.00857142857142857,-0.06428571428571428,0.0
0.13,-1.12,0.3,-9.8,0.01,-0.07,-0.0
0.14,-1.12,0.3,-9.8,0.01,-0.07,0.0
0.15,-1.12,0.3,-9.8,0.01,-0.07,-0.0
0.16,-1.13,0.29,-9.79,0.01,-0.11,-0.01
0.17,-1.13,0.29,-9.79,0.01,-0.11,-0.01
0.18,-1.26,0.28,-9.89,0.02,-0.17,-0.01
0.19,-1.56,0.21500000000000002,-10.365,0.015,-0.18,-0.01
0.2,-1.86,0.15,-10.84,0.01,-0.19,-0.01
0.21,-1.86,0.15,-10.84,0.01,-0.19,-0.01
0.22,-1.59,0.23,-10.32,0.0,-0.01,0.0
0.23,-1.21,0.34,-10.27,-0.0,0.05,-0.0
0.24000000000000002,-1.21,0.34,-10.27,0.0,0.05,0.0
0.25,-1.21,0.34,-10.27,-0.0,0.05,-0.0
0.26,-1.25,0.35,-9.86,-0.01,0.03,-0.0
0.27,-1.25,0.35,-9.86,-0.01,0.03,-0.0
0.28,-1.47,0.23,-9.91,-0.01,0.01,0.0
0.29000000000000004,-1.4249999999999998,0.23,-9.93,-0.01,0.015000000000000015,0.0
0.3,-1.38,0.23,-9.95,-0.01,0.02,0.0
0.31,-1.38,0.23,-9.95,-0.01,0.02,0.0
0.32,-1.39,0.12,-10.35,-0.0,0.03,-0.0
0.33,-1.39,0.12,-10.35,-0.0,0.03,-0.0
0.34,-1.3099999999999996,-3.469446951953614e-16,-10.775,-0.01000000000000003,0.07500000000000012,0.0
