time,ax,ay,az,gx,gy,gz,normAccel,normGyr
0.0,9.7,0.05,-0.24,-0.0,-0.0,-0.0,9.7031,0.0
0.01,9.69,0.05,-0.25,-0.0,-0.0,-0.0,9.6934,0.0
0.02,9.7,0.055,-0.255,0.0,0.0,0.0,9.7035,0.0
0.03,9.71,0.06,-0.26,-0.0,-0.0,-0.0,9.7137,0.0
0.04,9.71,0.06,-0.26,-0.0,-0.0,-0.0,9.7137,0.0
0.05,9.7033,0.06,-0.26,0.0,0.0,0.0,9.707,0.0
0.06,9.6967,0.06,-0.26,0.0,0.0,0.0,9.7004,0.0
0.07,9.69,0.06,-0.26,0.0,0.0,0.0,9.6937,0.0
0.08,9.6833,0.06,-0.26,0.0,0.0,0.0,9.687,0.0
0.09,9.6767,0.06,-0.26,0.0,0.0,0.0,9.6804,0.0
0.1,9.67,0.06,-0.26,-0.0,0.0,-0.0,9.6737,0.0
0.11,9.74,0.05,-0.24,0.0,-0.0,0.0,9.7431,0.0
0.12,9.74,0.05,-0.24,0.0,-0.0,0.0,9.7431,0.0
0.13,9.68,0.07,-0.23,-0.0,0.0,-0.0,9.683,0.0
0.14,9.705,0.06,-0.24,0.0,0.0,0.0,9.7082,0.0
0.15,9.73,0.05,-0.25,0.0,-0.0,0.0,9.7333,0.0
0.16,9.73,0.05,-0.25,0.0,-0.0,0.0,9.7333,0.0
0.17,9.69,0.06,-0.23,-0.0,0.0,-0.0,9.6929,0.0
0.18,9.69,0.06,-0.23,-0.0,0.0,-0.0,9.6929,0.0
0.19,9.69,0.04,-0.26,0.0,-0.0,0.0,9.6936,0.0
0.2,9.7,0.05,-0.255,0.0,0.0,0.0,9.7035,0.0
0.21,9.71,0.06,-0.25,-0.0,0.0,-0.0,9.7134,0.0
0.22,9.71,0.06,-0.25,-0.0,0.0,-0.0,9.7134,0.0
0.23,9.73,0.07,-0.29,-0.0,-0.0,-0.0,9.7346,0.0
0.24,9.71,0.06,-0.255,0.0,0.0,0.0,9.7135,0.0
0.25,9.69,0.05,-0.22,-0.0,0.0,-0.0,9.6926,0.0
0.26,9.69,0.05,-0.22,-0.0,0.0,-0.0,9.6926,0.0
0.27,9.7,0.05,-0.27,-0.0,-0.0,-0.0,9.7039,0.0
0.28,9.71,0.05,-0.26,0.0,-0.0,-0.0,9.7136,0.0
0.29,9.71,0.05,-0.26,0.0,0.0,0.0,9.7136,0.0
0.3,9.71,0.05,-0.26,0.0,-0.0,-0.0,9.7136,0.0
0.31,9.7,0.05,-0.22,0.0,0.0,-0.0,9.7026,0.0
0.32,9.7,0.05,-0.22,0.0,0.0,-0.0,9.7026,0.0
0.33,9.73,0.05,-0.26,-0.0,-0.0,-0.0,9.7336,0.0
0.34,9.715,0.055,-0.255,0.0,0.0,0.0,9.7185,0.0
0.35,9.7,0.06,-0.25,-0.0,-0.0,-0.0,9.7034,0.0
0.36,9.7,0.06,-0.25,-0.0,-0.0,-0.0,9.7034,0.0
0.37,9.71,0.06,-0.22,0.0,-0.0,-0.0,9.7127,0.0
0.38,9.71,0.07,-0.26,-0.0,-0.0,-0.0,9.7137,0.0
0.39,9.71,0.07,-0.26,0.0,0.0,0.0,9.7137,0.0
0.4,9.71,0.07,-0.26,-0.0,-0.0,-0.0,9.7137,0.0
0.41,9.71,0.05,-0.21,0.0,-0.0,-0.0,9.7124,0.0
0.42,9.71,0.05,-0.21,0.0,-0.0,-0.0,9.7124,0.0
0.43,9.72,0.07,-0.24,-0.0,-0.0,-0.0,9.7232,0.0
0.44,9.71,0.065,-0.25,0.0,0.0,0.0,9.7134,0.0
0.45,9.7,0.06,-0.26,-0.0,-0.0,-0.0,9.7037,0.0
0.46,9.7,0.06,-0.26,-0.0,-0.0,-0.0,9.7037,0.0
