time,ax,ay,az,gx,gy,gz
0.22,0.31,0.46,-9.96,-0.00,-0.00,-0.00
0.23,0.31,0.46,-9.96,-0.00,-0.00,-0.00
0.25,0.31,0.44,-9.97,-0.00,-0.00,-0.00
0.26,0.31,0.44,-9.97,-0.00,-0.00,-0.00
0.27,0.28,0.42,-9.96,-0.00,-0.00,-0.00
0.28,0.31,0.41,-9.97,-0.01,0.00,0.00
0.29,0.31,0.41,-9.97,-0.01,0.00,0.00
0.30,0.29,0.37,-9.98,-0.03,0.00,-0.00
0.31,0.29,0.37,-9.98,-0.03,0.00,-0.00
0.33,0.33,0.39,-9.98,-0.13,0.00,-0.00
0.34,0.33,0.39,-9.98,-0.13,0.00,-0.00
0.35,0.30,0.51,-9.97,-0.17,0.00,0.03
0.36,0.31,0.57,-9.94,-0.17,0.00,0.01
0.37,0.31,0.57,-9.94,-0.17,0.00,0.01
0.38,0.33,0.63,-9.97,-0.11,0.00,-0.00
0.40,0.33,0.63,-9.97,-0.11,0.00,-0.00
0.41,0.30,0.60,-9.97,-0.02,0.00,-0.00
0.42,0.31,0.56,-9.96,0.05,-0.00,-0.00
0.43,0.31,0.56,-9.96,0.05,-0.00,-0.00
0.44,0.32,0.54,-9.98,0.11,-0.00,0.00
0.45,0.32,0.54,-9.98,0.11,-0.00,0.00
0.46,0.30,0.52,-9.99,0.12,-0.00,0.00
0.47,0.30,0.52,-9.99,0.12,-0.00,0.00
0.49,0.31,0.47,-9.97,0.12,-0.00,0.00
0.50,0.31,0.47,-9.97,0.12,-0.00,0.00
0.51,0.30,0.45,-9.97,0.11,-0.00,0.00
0.52,0.32,0.43,-9.97,0.08,-0.00,0.00
0.53,0.32,0.43,-9.97,0.08,-0.00,0.00
0.55,0.32,0.41,-9.99,0.01,-0.00,-0.00
0.56,0.32,0.41,-9.99,0.01,-0.00,-0.00
0.57,0.29,0.42,-9.98,-0.00,0.00,-0.00
0.58,0.31,0.44,-9.97,-0.00,0.00,-0.00
0.59,0.31,0.44,-9.97,-0.00,0.00,-0.00
0.60,0.29,0.45,-9.98,0.00,0.00,-0.00
0.61,0.29,0.45,-9.98,0.00,0.00,-0.00
0.62,0.31,0.44,-9.97,0.01,0.00,-0.00
0.64,0.31,0.44,-9.97,0.01,0.00,-0.00
0.65,0.31,0.42,-9.97,0.01,-0.00,-0.00
