time,ax,ay,az,gx,gy,gz
0.22,0.31,0.46,-9.96,-0.0,-0.0,-0.0
0.23,0.31,0.46,-9.96,-0.0,-0.0,-0.0
0.24000000000000002,0.31,0.45,-9.965000000000002,0.0,0.0,0.0
0.25,0.31,0.44,-9.97,-0.0,-0.0,-0.0
0.26,0.31,0.44,-9.97,-0.0,-0.0,-0.0
0.27,0.28,0.42,-9.96,-0.0,-0.0,-0.0
0.28,0.31,0.41,-9.97,-0.01,0.0,0.0
0.29,0.31,0.41,-9.97,-0.01,0.0,0.0
0.3,0.29,0.37,-9.98,-0.03,0.0,-0.0
0.31,0.29,0.37,-9.98,-0.03,0.0,-0.0
0.32,0.31,0.38,-9.98,-0.08,0.0,0.0
0.33,0.33,0.39,-9.98,-0.13,0.0,-0.0
0.34,0.33,0.39,-9.98,-0.13,0.0,-0.0
0.35,0.3,0.51,-9.97,-0.17,0.0,0.03
0.36,0.31,0.57,-9.94,-0.17,0.0,0.01
0.37,0.31,0.57,-9.94,-0.17,0.0,0.01
0.38,0.33,0.63,-9.97,-0.11,0.0,-0.0
0.39,0.33,0.63,-9.97,-0.11,0.0,0.0
0.4,0.33,0.63,-9.97,-0.11,0.0,-0.0
0.41,0.3,0.6,-9.97,-0.02,0.0,-0.0
0.42,0.31,0.56,-9.96,0.05,-0.0,-0.0
0.43,0.31,0.56,-9.96,0.05,-0.0,-0.0
0.44,0.32,0.54,-9.98,0.11,-0.0,0.0
0.45,0.32,0.54,-9.98,0.11,-0.0,0.0
0.46,0.3,0.52,-9.99,0.12,-0.0,0.0
0.47,0.3,0.52,-9.99,0.12,-0.0,0.0
0.48,0.305,0.495,-9.98,0.12,0.0,0.0
0.49,0.31,0.47,-9.97,0.12,-0.0,0.0
0.5,0.31,0.47,-9.97,0.12,-0.0,0.0
0.51,0.3,0.45,-9.97,0.11,-0.0,0.0
0.52,0.32,0.43,-9.97,0.08,-0.0,0.0
0.53,0.32,0.43,-9.97,0.08,-0.0,0.0
0.54,0.32,0.42,-9.98,0.045,0.0,0.0
0.55,0.32,0.41,-9.99,0.01,-0.0,-0.0
0.56,0.32,0.41,-9.99,0.01,-0.0,-0.0
0.57,0.29,0.42,-9.98,-0.0,0.0,-0.0
0.58,0.31,0.44,-9.97,-0.0,0.0,-0.0
0.59,0.31,0.44,-9.97,-0.0,0.0,-0.0
0.6,0.29,0.45,-9.98,0.0,0.0,-0.0
0.61,0.29,0.45,-9.98,0.0,0.0,-0.0
0.62,0.31,0.44,-9.97,0.01,0.0,-0.0
0.63,0.31,0.44,-9.97,0.01,0.0,0.0
0.64,0.31,0.44,-9.97,0.01,0.0,-0.0
0.65,0.31,0.42,-9.97,0.01,-0.0,-0.0
0.66,0.31,0.42,-9.97,0.01,-0.0,-0.0
0.67,0.32,0.45,-9.97,0.0,-0.0,-0.0
0.68,0.31,0.43,-9.98,-0.0,-0.0,-0.0
0.69,0.31,0.43,-9.98,-0.0,-0.0,-0.0
0.7,0.29,0.44,-9.97,-0.0,0.0,-0.0
0.71,0.29,0.44,-9.97,-0.0,0.0,-0.0
0.72,0.3,0.435,-9.975000000000001,0.0,0.0,0.0
0.73,0.31,0.43,-9.98,0.0,0.0,-0.0
0.74,0.31,0.43,-9.98,0.0,0.0,-0.0
0.75,0.3,0.42,-9.96,0.0,0.0,-0.0
0.76,0.31,0.45,-9.97,-0.0,-0.0,-0.0
0.77,0.31,0.45,-9.97,-0.0,-0.0,-0.0
0.78,0.31,0.43,-9.99,0.0,-0.0,-0.0
0.79,0.31,0.43,-9.99,0.0,-0.0,-0.0
0.8,0.31,0.44,-9.96,0.0,-0.0,-0.0
0.81,0.31,0.44,-9.96,0.0,-0.0,-0.0
0.8200000000000001,0.31500000000000006,0.44,-9.96,0.005000000000000028,0.0,0.0
0.83,0.32,0.44,-9.96,0.01,-0.0,-0.0
0.84,0.32,0.44,-9.96,0.01,-0.0,-0.0
0.85,0.31,0.41,-9.97,0.0,0.0,-0.0
0.86,0.3,0.44,-9.97,0.0,0.0,-0.0
0.87,0.3,0.44,-9.97,0.0,0.0,-0.0
0.88,0.3,0.45,-9.98,0.0,0.0,-0.0
0.89,0.3,0.45,-9.98,0.0,0.0,0.0
0.9,0.3,0.45,-9.98,0.0,0.0,-0.0
0.91,0.3,0.44,-9.96,0.0,-0.0,-0.0
0.92,0.29,-0.65,-10.1,0.01,0.0,-0.03
0.93,0.29,-0.65,-10.1,0.01,0.0,-0.03
0.94,0.29,0.68,-9.94,0.03,0.02,-0.26
0.95,0.29,0.68,-9.94,0.03,0.02,-0.26
0.96,0.31,0.61,-9.95,0.01,0.01,-0.16
0.97,0.31,0.61,-9.95,0.01,0.01,-0.16
0.98,0.31,0.61,-9.95,0.01,0.01,-0.16
0.99,0.37,0.42,-9.99,0.0,0.01,-0.09
1.0,0.33,0.4,-9.97,0.0,0.01,-0.07
1.01,0.33,0.4,-9.97,0.0,0.01,-0.07
1.02,0.34,0.68,-9.94,-0.0,0.0,-0.04
1.03,0.34,0.68,-9.94,-0.0,0.0,-0.04
1.04,0.3,0.45,-9.94,-0.0,-0.0,-0.01
1.05,0.3,0.45,-9.94,0.0,0.0,-0.01
1.06,0.3,0.45,-9.94,-0.0,-0.0,-0.01
1.07,0.3,0.42,-9.97,0.0,-0.0,0.0
1.08,0.32,0.42,-9.97,-0.0,-0.0,0.0
1.09,0.32,0.42,-9.97,-0.0,-0.0,0.0
1.1,0.33,0.43,-9.96,-0.01,0.0,-0.0
1.11,0.33,0.43,-9.96,-0.01,0.0,-0.0
1.12,0.3199999999999999,0.4400000000000001,-9.945,-0.004999999999999945,0.0,0.0
1.13,0.31,0.45,-9.93,-0.0,0.0,-0.0
1.14,0.31,0.45,-9.93,-0.0,0.0,-0.0
1.15,0.3,0.44,-9.96,-0.0,0.0,0.0
1.16,0.31,0.41,-9.97,-0.01,0.0,0.0
1.17,0.31,0.41,-9.97,-0.01,0.0,0.0
1.18,0.32,0.43,-9.97,-0.01,0.0,-0.0
1.19,0.32,0.43,-9.97,-0.01,0.0,-0.0
1.2,0.32,0.44,-9.97,-0.005,0.0,0.0
1.21,0.32,0.45,-9.97,-0.0,0.0,0.0
1.22,0.32,0.45,-9.97,-0.0,0.0,0.0
1.23,0.32,0.3,-9.97,-0.0,-0.0,0.02
1.24,0.29,0.42,-9.96,-0.01,-0.01,0.09
1.25,0.29,0.42,-9.96,-0.01,-0.01,0.09
1.26,0.3,0.45,-9.97,-0.01,-0.0,0.07
1.27,0.3,0.45,-9.97,-0.01,-0.0,0.07
1.28,0.32,0.46,-9.99,-0.01,-0.0,0.03
1.29,0.32,0.46,-9.99,-0.01,0.0,0.03
1.3,0.32,0.46,-9.99,-0.01,-0.0,0.03
1.31,0.32,0.38,-9.96,-0.01,-0.0,0.02
1.32,0.34,0.43,-9.97,-0.0,-0.0,0.04
1.33,0.34,0.43,-9.97,-0.0,-0.0,0.04
1.34,0.31,0.45,-9.96,-0.0,-0.0,0.02
1.35,0.31,0.45,-9.96,-0.0,-0.0,0.02
1.36,0.3128571428571429,0.44571428571428573,-9.964285714285715,0.0,0.0,0.017142857142857133
1.37,0.3157142857142857,0.4414285714285714,-9.96857142857143,0.0,0.0,0.014285714285714268
1.3800000000000001,0.3185714285714286,0.4371428571428571,-9.972857142857144,0.0,0.0,0.011428571428571403
1.3900000000000001,0.32142857142857145,0.4328571428571428,-9.977142857142857,0.0,0.0,0.008571428571428535
1.4000000000000001,0.32428571428571434,0.4285714285714285,-9.981428571428571,0.0,0.0,0.00571428571428567
1.4100000000000001,0.32714285714285724,0.4242857142857142,-9.985714285714286,0.0,0.0,0.0028571428571428047
1.42,0.33,0.42,-9.99,-0.0,-0.0,0.0
1.43,0.32625000000000004,0.4225,-9.98625,-0.0075,0.0,0.0
1.44,0.3225,0.425,-9.9825,-0.015,0.0,0.0
1.45,0.31875,0.4275,-9.97875,-0.0225,0.0,0.0
1.46,0.315,0.43,-9.975000000000001,-0.03,0.0,0.0
1.47,0.31125,0.4325,-9.971250000000001,-0.0375,0.0,0.0
1.48,0.3075,0.435,-9.967500000000001,-0.045,0.0,0.0
1.49,0.30374999999999996,0.4375,-9.963750000000001,-0.0525,0.0,0.0
1.5,0.3,0.44,-9.96,-0.06,-0.0,-0.0
1.51,0.3,0.4475,-9.96,-0.05875,0.0,0.0025
1.52,0.3,0.455,-9.96,-0.057499999999999996,0.0,0.005
1.53,0.3,0.4625,-9.96,-0.05625,0.0,0.0075
1.54,0.3,0.47,-9.96,-0.055,0.0,0.01
1.55,0.3,0.4775,-9.96,-0.05375,0.0,0.0125
1.56,0.3,0.485,-9.96,-0.052500000000000005,0.0,0.015
1.57,0.3,0.4925,-9.96,-0.051250000000000004,0.0,0.0175
1.58,0.3,0.5,-9.96,-0.05,-0.0,0.02
1.59,0.3,0.5014285714285714,-9.964285714285715,-0.04428571428571427,0.0,0.0157142857142857
1.6,0.3,0.5028571428571429,-9.96857142857143,-0.038571428571428534,0.0,0.011428571428571403
1.61,0.3,0.5042857142857143,-9.972857142857144,-0.03285714285714281,0.0,0.007142857142857102
1.62,0.3,0.5057142857142858,-9.977142857142857,-0.027142857142857073,0.0,0.0028571428571428047
