time,ax,ay,az,gx,gy,gz
0.00,-0.67,0.35,-9.40,0.10,-0.09,-0.08
0.01,-0.52,0.31,-9.90,-0.02,0.00,-0.10
0.03,-0.52,0.31,-9.90,-0.02,0.00,-0.10
0.04,-0.08,0.16,-10.21,-0.21,0.11,-0.14
0.05,0.21,0.27,-10.58,-0.43,0.16,-0.18
0.06,0.21,0.27,-10.58,-0.43,0.16,-0.18
0.07,0.50,0.27,-10.66,-0.36,0.22,-0.18
0.09,0.50,0.27,-10.66,-0.36,0.22,-0.18
0.10,0.52,0.20,-10.39,-0.15,0.23,-0.14
0.11,0.48,-0.02,-9.80,0.04,0.12,-0.13
0.12,0.48,-0.02,-9.80,0.04,0.12,-0.13
0.13,0.20,0.09,-9.48,0.04,0.00,-0.08
0.14,0.20,0.09,-9.48,0.04,0.00,-0.08
0.16,0.10,0.22,-9.67,-0.03,-0.02,-0.02
0.17,-0.18,0.44,-9.84,-0.08,0.01,0.01
0.18,-0.18,0.44,-9.84,-0.08,0.01,0.01
0.19,-0.26,0.57,-9.80,-0.09,0.09,-0.00
0.20,-0.26,0.57,-9.80,-0.09,0.09,-0.00
0.21,-0.08,0.60,-9.79,-0.05,0.16,-0.04
0.22,-0.08,0.60,-9.79,-0.05,0.16,-0.04
0.24,0.11,0.44,-10.04,-0.09,0.15,-0.09
0.25,0.21,0.63,-10.10,-0.10,0.06,-0.13
0.26,0.21,0.63,-10.10,-0.10,0.06,-0.13
0.27,0.16,0.58,-9.97,-0.05,-0.01,-0.11
0.28,0.16,0.58,-9.97,-0.05,-0.01,-0.11
0.29,0.17,0.51,-10.06,-0.00,-0.00,-0.09
0.31,0.03,0.54,-9.95,-0.02,0.02,-0.08
0.32,0.03,0.54,-9.95,-0.02,0.02,-0.08
0.33,-0.10,0.58,-9.85,-0.03,0.01,-0.06
0.34,-0.10,0.58,-9.85,-0.03,0.01,-0.06
0.35,-0.08,0.60,-9.86,-0.01,0.05,-0.06
0.36,-0.08,0.60,-9.86,-0.01,0.05,-0.06
0.38,0.00,0.66,-10.05,-0.03,0.05,-0.07
0.39,0.17,0.54,-10.09,-0.03,0.00,-0.10
0.40,0.17,0.54,-10.09,-0.03,0.00,-0.10
0.41,0.27,0.37,-9.96,0.03,-0.04,-0.07
0.42,0.27,0.37,-9.96,0.03,-0.04,-0.07
0.43,0.10,0.46,-9.93,0.06,-0.10,-0.03
0.45,-0.10,0.63,-9.97,0.07,-0.07,-0.01
0.46,-0.10,0.63,-9.97,0.07,-0.07,-0.01
