time,ax,ay,az,gx,gy,gz
0.0,-0.67,0.35,-9.4,0.1,-0.09,-0.08
0.01,-0.52,0.31,-9.9,-0.02,0.0,-0.1
0.02,-0.52,0.31,-9.9,-0.02,0.0,-0.1
0.03,-0.52,0.31,-9.9,-0.02,0.0,-0.1
0.04,-0.08,0.16,-10.21,-0.21,0.11,-0.14
0.05,0.21,0.27,-10.58,-0.43,0.16,-0.18
0.06,0.21,0.27,-10.58,-0.43,0.16,-0.18
0.07,0.5,0.27,-10.66,-0.36,0.22,-0.18
0.08,0.5,0.27,-10.66,-0.36,0.22,-0.18
0.09,0.5,0.27,-10.66,-0.36,0.22,-0.18
0.1,0.52,0.2,-10.39,-0.15,0.23,-0.14
0.11,0.48,-0.02,-9.8,0.04,0.12,-0.13
0.12,0.48,-0.02,-9.8,0.04,0.12,-0.13
0.13,0.2,0.09,-9.48,0.04,0.0,-0.08
0.14,0.2,0.09,-9.48,0.04,0.0,-0.08
0.15000000000000002,0.14999999999999994,0.15500000000000008,-9.575000000000001,0.004999999999999949,-0.010000000000000014,-0.04999999999999996
0.16,0.1,0.22,-9.67,-0.03,-0.02,-0.02
0.17,-0.18,0.44,-9.84,-0.08,0.01,0.01
0.18,-0.18,0.44,-9.84,-0.08,0.01,0.01
0.19,-0.26,0.57,-9.8,-0.09,0.09,-0.0
0.2,-0.26,0.57,-9.8,-0.09,0.09,-0.0
0.21,-0.08,0.6,-9.79,-0.05,0.16,-0.04
0.22,-0.08,0.6,-9.79,-0.05,0.16,-0.04
0.23,0.015000000000000138,0.5199999999999999,-9.915,-0.07000000000000003,0.155,-0.06500000000000003
0.24,0.11,0.44,-10.04,-0.09,0.15,-0.09
0.25,0.21,0.63,-10.1,-0.1,0.06,-0.13
0.26,0.21,0.63,-10.1,-0.1,0.06,-0.13
0.27,0.16,0.58,-9.97,-0.05,-0.01,-0.11
0.28,0.16,0.58,-9.97,-0.05,-0.01,-0.11
0.29,0.17,0.51,-10.06,-0.0,-0.0,-0.09
0.3,0.1,0.525,-10.005,-0.01,0.01,-0.08499999999999999
0.31,0.03,0.54,-9.95,-0.02,0.02,-0.08
0.32,0.03,0.54,-9.95,-0.02,0.02,-0.08
0.33,-0.1,0.58,-9.85,-0.03,0.01,-0.06
0.34,-0.1,0.58,-9.85,-0.03,0.01,-0.06
0.35,-0.08,0.6,-9.86,-0.01,0.05,-0.06
0.36,-0.08,0.6,-9.86,-0.01,0.05,-0.06
0.37,-0.04,0.63,-9.955,-0.019999999999999997,0.05,-0.065
0.38,0.0,0.66,-10.05,-0.03,0.05,-0.07
0.39,0.17,0.54,-10.09,-0.03,0.0,-0.1
0.4,0.17,0.54,-10.09,-0.03,0.0,-0.1
0.41,0.27,0.37,-9.96,0.03,-0.04,-0.07
0.42,0.27,0.37,-9.96,0.03,-0.04,-0.07
0.43,0.1,0.46,-9.93,0.06,-0.1,-0.03
0.44,0.0,0.545,-9.95,0.065,-0.085,-0.02
0.45,-0.1,0.63,-9.97,0.07,-0.07,-0.01
0.46,-0.1,0.63,-9.97,0.07,-0.07,-0.01
0.47,-0.12,0.55,-9.96,0.05,0.0,-0.03
0.48,-0.12,0.55,-9.96,0.05,0.0,-0.03
0.49,-0.2,0.6,-9.96,0.03,0.05,-0.07
0.5,-0.2,0.6,-9.96,0.03,0.05,-0.07
0.51,-0.13,0.6,-9.99,-0.0,0.07,-0.12
0.52,-0.04000000000000001,0.585,-10.035,-0.005,0.05500000000000001,-0.14500000000000002
0.53,0.05,0.57,-10.08,-0.01,0.04,-0.17
0.54,0.05,0.57,-10.08,-0.01,0.04,-0.17
0.55,0.06,0.42,-9.85,0.05,-0.02,-0.22
0.56,0.06,0.42,-9.85,0.05,-0.02,-0.22
0.57,0.14,0.39,-9.92,0.04,-0.05,-0.22
0.58,0.14,0.39,-9.92,0.04,-0.05,-0.22
0.59,0.125,0.41500000000000004,-9.955,0.05,-0.055,-0.19
0.6,0.11,0.44,-9.99,0.06,-0.06,-0.16
0.61,0.07,0.39,-9.89,0.11,-0.04,-0.1
0.62,0.07,0.39,-9.89,0.11,-0.04,-0.1
0.63,0.09,0.21,-9.83,0.19,-0.03,-0.08
0.64,0.09,0.21,-9.83,0.19,-0.03,-0.08
0.65,0.13,0.34,-9.93,0.19,0.0,-0.05
0.66,0.13,0.34,-9.93,0.19,0.0,-0.05
0.67,0.12,0.43500000000000005,-10.015,0.12,0.01,-0.035
0.68,0.11,0.53,-10.1,0.05,0.02,-0.02
0.69,0.29,0.04,-9.74,0.05,0.06,-0.01
0.7,0.29,0.04,-9.74,0.05,0.06,-0.01
0.71,0.3,0.16,-9.59,-0.09,0.06,-0.0
0.72,0.3,0.16,-9.59,-0.09,0.06,-0.0
0.73,0.0,0.47,-10.31,0.04,0.14,0.06
0.74,0.0,0.47,-10.31,0.04,0.14,0.06
0.75,0.02,0.37,-10.14,-0.08499999999999999,0.26,0.09
0.76,0.04,0.27,-9.97,-0.21,0.38,0.12
0.77,0.15,0.52,-9.27,-0.5,0.43,0.1
0.78,0.15,0.52,-9.27,-0.5,0.43,0.1
0.79,0.07,0.79,-9.45,-0.21,0.29,0.03
0.8,0.07,0.79,-9.45,-0.21,0.29,0.03
0.81,0.88,0.16,-10.15,-0.26,0.26,-0.07
0.82,0.88,0.16,-10.15,-0.26,0.26,-0.07
0.83,0.43999999999999995,-0.06499999999999997,-10.245000000000001,-0.35,0.19,-0.05
0.84,0.0,-0.29,-10.34,-0.44,0.12,-0.03
0.85,0.0,-0.29,-10.34,-0.44,0.12,-0.03
0.86,0.28,1.01,-9.74,0.03,-0.07,0.09
0.87,0.4,0.88,-9.56,0.1,-0.01,0.08
0.88,0.4,0.88,-9.56,0.1,-0.01,0.08
0.89,0.7,0.9,-10.05,-0.09,0.11,-0.1
0.9,0.7,0.9,-10.05,-0.09,0.11,-0.1
0.91,0.7,0.9,-10.05,-0.09,0.11,-0.1
0.92,0.57,0.65,-9.72,-0.15,0.1,-0.2
0.93,0.54,0.64,-9.89,-0.05,-0.02,-0.22
0.94,0.54,0.64,-9.89,-0.05,-0.02,-0.22
0.95,0.36,1.26,-10.23,0.2,-0.2,-0.25
0.96,0.36,1.26,-10.23,0.2,-0.2,-0.25
0.97,-0.54,1.56,-9.71,0.24,-0.46,-0.38
0.98,-0.54,1.56,-9.71,0.24,-0.46,-0.38
0.99,-0.54,1.56,-9.71,0.24,-0.46,-0.38
1.0,0.32,-0.64,-9.87,0.18,-0.43,-0.35
1.01,0.28,0.03,-9.91,-0.04,-0.21,-0.31
1.02,0.28,0.03,-9.91,-0.04,-0.21,-0.31
1.03,-0.03,0.22,-10.15,-0.19,-0.06,-0.23
1.04,-0.03,0.22,-10.15,-0.19,-0.06,-0.23
1.05,-0.105,0.065,-10.115,-0.28,0.065,-0.27
1.06,-0.18,-0.09,-10.08,-0.37,0.19,-0.31
1.07,-0.18,-0.09,-10.08,-0.37,0.19,-0.31
1.08,-0.1,1.25,-10.08,-0.56,-0.01,-0.28
1.09,0.35,1.31,-10.04,0.12,-0.21,-0.07
1.1,0.35,1.31,-10.04,0.12,-0.21,-0.07
1.11,0.62,1.63,-9.43,0.26,-0.28,-0.09
1.12,0.62,1.63,-9.43,0.26,-0.28,-0.09
1.13,0.62,1.63,-9.43,0.26,-0.28,-0.09
1.14,0.28,1.36,-9.46,0.13,-0.5,-0.07
1.15,-0.28,0.54,-9.65,0.03,-0.56,-0.06
1.16,-0.28,0.54,-9.65,0.03,-0.56,-0.06
1.17,-0.37,0.52,-9.95,0.04,-0.46,-0.17
1.18,-0.37,0.52,-9.95,0.04,-0.46,-0.17
1.19,-0.28,0.885,-9.985,0.07,-0.395,-0.17
1.2,-0.19,1.25,-10.02,0.1,-0.33,-0.17
1.21,-0.34,0.83,-10.17,0.21,-0.22,-0.01
1.22,-0.34,0.83,-10.17,0.21,-0.22,-0.01
1.23,-0.32,0.36,-10.5,0.2,-0.09,0.03
1.24,-0.32,0.36,-10.5,0.2,-0.09,0.03
1.25,-0.28,0.61,-9.94,-0.03,0.09,-0.11
1.26,-0.28,0.61,-9.94,-0.03,0.09,-0.11
1.27,-0.48000000000000004,0.51,-9.58,-0.095,0.08499999999999999,-0.145
1.28,-0.68,0.41,-9.22,-0.16,0.08,-0.18
1.29,-0.57,0.56,-9.42,-0.17,-0.07,-0.25
1.3,-0.57,0.56,-9.42,-0.17,-0.07,-0.25
1.31,-0.25,0.8,-10.0,-0.09,-0.23,-0.26
1.32,-0.25,0.8,-10.0,-0.09,-0.23,-0.26
1.33,-0.28500000000000003,0.8,-10.030000000000001,-0.065,-0.235,-0.195
1.34,-0.32,0.8,-10.06,-0.04,-0.24,-0.13
1.35,-0.46,0.7,-10.19,-0.05,-0.22,-0.03
1.36,-0.46,0.7,-10.19,-0.05,-0.22,-0.03
1.37,-0.4,0.4,-10.56,-0.07,-0.18,-0.01
1.38,-0.4,0.4,-10.56,-0.07,-0.18,-0.01
1.39,-0.4,0.66,-10.21,-0.05,-0.13,-0.01
1.4,-0.4,0.66,-10.21,-0.05,-0.13,-0.01
1.41,-0.305,0.895,-10.305,-0.07,-0.14,-0.025
1.42,-0.21,1.13,-10.4,-0.09,-0.15,-0.04
