time,ax,ay,az,gx,gy,gz,mx,my,mz
1.00,0.10,-0.28,-10.49,-0.88,-0.57,-0.95,-47.21,5.40,-45.10
14.00,0.07,-0.17,-10.60,-0.82,-0.61,-0.95,-47.21,5.40,-45.10
25.00,0.07,-0.17,-10.60,-0.82,-0.61,-0.95,-47.21,5.40,-45.10
38.00,0.03,-0.16,-10.25,-0.73,-0.63,-0.98,-47.21,5.40,-45.10
98.00,-0.07,-0.62,-9.46,-0.74,-0.72,-0.91,-47.58,3.31,-43.75
109.00,-0.07,-0.62,-9.46,-0.74,-0.72,-0.91,-47.58,3.31,-43.75
121.00,-0.18,-0.30,-10.12,-0.85,-0.59,-0.86,-47.58,3.31,-43.75
134.00,-0.05,-0.53,-10.13,-0.83,-0.56,-0.91,-47.58,3.31,-43.75
148.00,-0.05,-0.53,-10.13,-0.83,-0.56,-0.91,-47.58,3.31,-43.75
159.00,0.18,-0.80,-9.68,-0.81,-0.59,-0.94,-47.58,3.31,-43.75
172.00,0.18,-0.80,-9.68,-0.81,-0.59,-0.94,-47.58,3.31,-43.75
183.00,0.28,-0.87,-9.46,-0.89,-0.61,-0.91,-47.58,3.31,-43.75
198.00,0.26,-0.75,-9.61,-0.95,-0.55,-0.85,-47.21,2.27,-44.09
209.00,0.26,-0.75,-9.61,-0.95,-0.55,-0.85,-47.21,2.27,-44.09
221.00,0.22,-0.69,-9.79,-0.92,-0.46,-0.80,-47.21,2.27,-44.09
233.00,0.16,-0.54,-10.20,-0.92,-0.45,-0.77,-47.21,2.27,-44.09
248.00,0.16,-0.54,-10.20,-0.92,-0.45,-0.77,-47.21,2.27,-44.09
259.00,0.12,-0.49,-9.97,-0.89,-0.52,-0.77,-47.21,2.27,-44.09
271.00,0.12,-0.49,-9.97,-0.89,-0.52,-0.77,-47.21,2.27,-44.09
283.00,0.05,-0.56,-9.77,-0.90,-0.55,-0.79,-47.21,2.27,-44.09
298.00,-0.03,-0.45,-9.61,-0.92,-0.53,-0.79,-47.21,2.27,-44.09
309.00,-0.03,-0.45,-9.61,-0.92,-0.53,-0.79,-47.21,2.27,-44.09
322.00,-0.09,-0.54,-9.81,-0.92,-0.46,-0.81,-48.50,1.75,-43.59
333.00,-0.10,-0.63,-10.23,-0.94,-0.41,-0.83,-48.50,1.75,-43.59
348.00,-0.10,-0.63,-10.23,-0.94,-0.41,-0.83,-48.50,1.75,-43.59
359.00,-0.00,-0.85,-10.26,-0.98,-0.44,-0.83,-48.50,1.75,-43.59
371.00,-0.00,-0.85,-10.26,-0.98,-0.44,-0.83,-48.50,1.75,-43.59
383.00,0.08,-0.88,-10.33,-1.02,-0.50,-0.81,-48.50,1.75,-43.59
398.00,0.04,-0.63,-10.08,-1.03,-0.56,-0.79,-48.50,1.75,-43.59
409.00,0.04,-0.63,-10.08,-1.03,-0.56,-0.79,-48.50,1.75,-43.59
421.00,-0.09,-0.63,-9.86,-1.02,-0.56,-0.79,-48.50,1.75,-43.59
433.00,-0.14,-0.38,-10.08,-1.05,-0.54,-0.80,-45.91,3.84,-45.27
448.00,-0.14,-0.38,-10.08,-1.05,-0.54,-0.80,-45.91,3.84,-45.27
459.00,-0.04,-0.50,-10.02,-1.00,-0.53,-0.85,-45.91,3.84,-45.27
472.00,-0.04,-0.50,-10.02,-1.00,-0.53,-0.85,-45.91,3.84,-45.27
483.00,0.11,-0.83,-9.91,-0.93,-0.52,-0.88,-45.91,3.84,-45.27
498.00,0.09,-0.63,-10.02,-0.98,-0.52,-0.87,-45.91,3.84,-45.27
509.00,0.09,-0.63,-10.02,-0.98,-0.52,-0.87,-45.91,3.84,-45.27
521.00,0.07,-0.56,-10.08,-0.99,-0.53,-0.87,-45.91,3.84,-45.27
533.00,0.13,-0.63,-9.88,-0.99,-0.55,-0.89,-45.91,3.84,-45.27
548.00,0.13,-0.63,-9.88,-0.99,-0.55,-0.89,-45.91,3.84,-45.27
559.00,0.09,-0.62,-9.82,-1.00,-0.53,-0.87,-46.65,3.49,-43.59
571.00,0.09,-0.62,-9.82,-1.00,-0.53,-0.87,-46.65,3.49,-43.59
583.00,0.01,-0.37,-9.98,-1.00,-0.50,-0.85,-46.65,3.49,-43.59
596.00,0.03,-0.47,-10.01,-0.96,-0.51,-0.89,-46.65,3.49,-43.59
610.00,0.03,-0.47,-10.01,-0.96,-0.51,-0.89,-46.65,3.49,-43.59
621.00,0.07,-0.59,-10.01,-0.97,-0.54,-0.91,-46.65,3.49,-43.59
634.00,0.02,-0.54,-10.12,-1.00,-0.58,-0.92,-46.65,3.49,-43.59
645.00,0.02,-0.54,-10.12,-1.00,-0.58,-0.92,-46.65,3.49,-43.59
660.00,0.06,-0.74,-10.03,-0.98,-0.59,-0.93,-46.65,3.49,-43.59
671.00,0.06,-0.74,-10.03,-0.98,-0.59,-0.93,-46.65,3.49,-43.59
683.00,0.06,-0.75,-9.93,-0.99,-0.59,-0.92,-46.65,3.49,-43.59
695.00,-0.05,-0.52,-10.03,-1.00,-0.56,-0.90,-46.84,1.57,-44.76
710.00,-0.05,-0.52,-10.03,-1.00,-0.56,-0.90,-46.84,1.57,-44.76
721.00,0.07,-0.60,-10.11,-0.94,-0.55,-0.93,-46.84,1.57,-44.76
733.00,0.19,-0.72,-9.89,-0.93,-0.57,-0.95,-46.84,1.57,-44.76
746.00,0.19,-0.72,-9.89,-0.93,-0.57,-0.95,-46.84,1.57,-44.76
760.00,0.23,-0.73,-10.05,-0.96,-0.58,-0.93,-46.84,1.57,-44.76
771.00,0.23,-0.73,-10.05,-0.96,-0.58,-0.93,-46.84,1.57,-44.76
784.00,0.17,-0.53,-9.97,-0.96,-0.61,-0.91,-46.84,1.57,-44.76
795.00,0.19,-0.64,-9.84,-0.91,-0.59,-0.92,-46.84,1.57,-44.76
810.00,0.19,-0.64,-9.84,-0.91,-0.59,-0.92,-46.84,1.57,-44.76
821.00,0.26,-0.72,-9.94,-0.92,-0.57,-0.90,-47.02,2.44,-43.92
833.00,0.16,-0.61,-9.81,-0.98,-0.60,-0.87,-47.02,2.44,-43.92
845.00,0.16,-0.61,-9.81,-0.98,-0.60,-0.87,-47.02,2.44,-43.92
860.00,0.02,-0.52,-9.86,-1.01,-0.58,-0.86,-47.02,2.44,-43.92
871.00,0.02,-0.52,-9.86,-1.01,-0.58,-0.86,-47.02,2.44,-43.92
883.00,0.01,-0.52,-10.05,-1.00,-0.54,-0.87,-47.02,2.44,-43.92
