time,ax,ay,az,gx,gy,gz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized
43.43,0.07,-1.0,9.59,-0.03,-0.14,0.24,9.642250774585776,16.012094676709765,0.0033476707726847773,-0.0478238681812111,0.45863089585781447,-0.00013401059531724849,-0.0006253827781471597,0.0010720847625379879
43.44,-2.419999999999116,-0.7050000000001048,10.414999999999708,-0.0100000000000071,-0.0650000000000266,0.2649999999999911,10.715673100649804,15.64395133568792,-0.1157337609984886,-0.03371582706775884,0.49808558710729967,-4.467019843911455e-05,-0.00029035628985415725,0.0011837602586356553
43.45,-4.91,-0.41,11.24,0.01,0.01,0.29,12.272481411678731,16.635521491855613,-0.23481519276974652,-0.01960778595429655,0.5375402783568128,4.467019843908283e-05,4.467019843908283e-05,0.001295435754733402
43.46,-0.64,-0.63,11.06,0.04,0.04,0.3,11.096400317219995,17.4916423420185,-0.030607275635975106,-0.030129036954162997,0.5289319820841948,0.00017868079375633132,0.00017868079375633132,0.0013401059531724848
43.47,-0.64,-0.63,11.06,0.04,0.04,0.3,11.096400317219995,17.4916423420185,-0.030607275635975106,-0.030129036954162997,0.5289319820841948,0.00017868079375633132,0.00017868079375633132,0.0013401059531724848
43.48,-0.84,-2.86,12.47,0.05,0.09,0.32,12.82131428520493,19.260247079186886,-0.040172049272217326,-0.13677626299826376,0.5963636362197025,0.00022335099219541416,0.0004020317859517455,0.0014294463500506506
43.49,-0.84,-2.86,12.47,0.05,0.09,0.32,12.82131428520493,19.260247079186886,-0.040172049272217326,-0.13677626299826376,0.5963636362197025,0.00022335099219541416,0.0004020317859517455,0.0014294463500506506
43.5,-1.28,-2.41,8.92,0.03,0.25,0.31,9.32807054004203,22.882473922783635,-0.06121455127195021,-0.11525552231671876,0.42658890417640305,0.00013401059531724849,0.0011167549609770709,0.0013847761516115678
43.51,-1.28,-2.41,8.92,0.03,0.25,0.31,9.32807054004203,22.882473922783635,-0.06121455127195021,-0.11525552231671876,0.42658890417640305,0.00013401059531724849,0.0011167549609770709,0.0013847761516115678
43.52,-1.5749999999998954,-1.8200000000002097,10.314999999999504,0.03,0.3449999999999662,0.3050000000000017,10.592084308576391,26.440000231371556,-0.07532259238540248,-0.08703944008981424,0.4933032002891688,0.00013401059531724849,0.0015411218461482067,0.0013624410523920341
43.53,-1.87,-1.23,11.71,0.03,0.44,0.3,11.921992283171468,30.560733083130405,-0.08943063349886476,-0.058823357862889655,0.5600174964019821,0.00013401059531724849,0.0019654887313196446,0.0013401059531724848
43.54,-0.91,1.51,10.5,0.0,0.39,0.26,10.646980792694237,26.855773217272674,-0.04351972004490211,0.07221404095362877,0.5021506159027166,0.0,0.0017421377391242305,0.0011614251594161537
43.55,-0.91,1.51,10.5,0.0,0.39,0.26,10.646980792694237,26.855773217272674,-0.04351972004490211,0.07221404095362877,0.5021506159027166,0.0,0.0017421377391242305,0.0011614251594161537
43.56,-1.49,2.86,10.89,-0.0,0.12,0.23,11.35745570099219,14.863810660654636,-0.07125756359000454,0.13677626299826376,0.5208019244933889,-0.0,0.0005360423812689939,0.001027414564098905
43.57,-1.49,2.86,10.89,-0.0,0.12,0.23,11.35745570099219,14.863810660654636,-0.07125756359000454,0.13677626299826376,0.5208019244933889,-0.0,0.0005360423812689939,0.001027414564098905
43.58,-1.11,4.52,8.4,0.01,-0.27,0.19,9.603254656625534,18.924961632359555,-0.05308449368114433,0.21616388417907417,0.4017204927221733,4.467019843908283e-05,-0.0012060953578552365,0.0008487337703425739
43.59,-1.11,4.52,8.4,0.01,-0.27,0.19,9.603254656625534,18.924961632359555,-0.05308449368114433,0.21616388417907417,0.4017204927221733,4.467019843908283e-05,-0.0012060953578552365,0.0008487337703425739
43.6,-1.11,4.52,8.4,0.01,-0.27,0.19,9.603254656625534,18.924961632359555,-0.05308449368114433,0.21616388417907417,0.4017204927221733,4.467019843908283e-05,-0.0012060953578552365,0.0008487337703425739
43.61,-2.48,6.0,10.24,0.04,-0.52,0.21,12.124685562933168,32.21327501572468,-0.11860319308940354,0.2869432090872666,0.4897164101756017,0.00017868079375633132,-0.0023228503188323073,0.0009380741672207394
43.62,-0.07,8.03,9.21,0.06,-0.6,0.23,12.219243020743962,36.976869050527945,-0.0033476707726847773,0.3840256614951251,0.4404578259489543,0.00026802119063449697,-0.0026802119063449696,0.001027414564098905
43.63,-0.07,8.03,9.21,0.06,-0.6,0.23,12.219243020743962,36.976869050527945,-0.0033476707726847773,0.3840256614951251,0.4404578259489543,0.00026802119063449697,-0.0026802119063449696,0.001027414564098905
43.64,-1.44,7.04,7.64,0.13,-0.47,0.27,10.48831731022665,31.93693681223434,-0.06886637018094399,0.33668003199572616,0.3653743529044528,0.0005807125797080768,-0.0020994993266368928,0.0012060953578552365
43.65,-1.44,7.04,7.64,0.13,-0.47,0.27,10.48831731022665,31.93693681223434,-0.06886637018094399,0.33668003199572616,0.3653743529044528,0.0005807125797080768,-0.0020994993266368928,0.0012060953578552365
43.66,-0.6100000000002949,5.540000000000533,7.250000000000138,0.1649999999999875,-0.4100000000000213,0.2550000000000053,9.144736190837232,29.234887262064312,-0.029172559590552875,0.264944229723935,0.3467230443137871,0.0007370582742448109,-0.0018314781360024913,0.0011390900601966358
43.67,0.22,4.04,6.86,0.2,-0.35,0.24,7.964270211387858,26.880209776666266,0.010521250999866442,0.19320842745209285,0.32807173572310816,0.0008934039687816566,-0.001563456945367899,0.0010720847625379879
